#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KLJ-15260496Week-0_S84_L002_R1_001.fastq.gz,KLJ-15260496Week-0_S84_L002_R2_001.fastq.gz --bowtie2out KLJ-15260496Week-0_S84_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KLJ-15260496Week-0_S84_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8600693
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.53049	3.26512	8515780
k__Archaea	2157	1.46951	0.0487	84913
k__Bacteria|p__Firmicutes	2|1239	60.9063	2.01832	5611762
k__Bacteria|p__Actinobacteria	2|201174	28.44763	0.9427	2008644
k__Bacteria|p__Bacteroidetes	2|976	8.27317	0.27416	829753
k__Archaea|p__Euryarchaeota	2157|28890	1.46951	0.0487	84913
k__Bacteria|p__Bacteria_unclassified	2|	0.46383	0.01537	26471
k__Bacteria|p__Proteobacteria	2|1224	0.42799	0.01418	37990
k__Bacteria|p__Verrucomicrobia	2|74201	0.01156	0.00038	1160
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.85438	1.55267	4501163
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	17.90372	0.5933	1250072
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.54392	0.34941	758572
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.51744	0.24911	752016
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.90017	0.16238	362348
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.65611	0.12116	309536
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.50772	0.04996	117590
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.46951	0.0487	84913
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.44095	0.04775	101121
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.75574	0.02504	77737
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.46383	0.01537	26471
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.35208	0.01167	30531
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.34514	0.01144	25155
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.33861	0.01122	32967
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.28612	0.00948	30162
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.19479	0.00645	18651
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.18882	0.00626	13879
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.15782	0.00523	10341
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.08515	0.00282	10319
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.08319	0.00276	8969
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.06208	0.00206	5977
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.01718	0.00057	1607
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.01382	0.00046	1482
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01156	0.00038	1160
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00965	0.00032	894
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00692	0.00023	731
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00604	0.0002	414
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.00538	0.00018	567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	46.04677	1.5259	4432612
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	17.88403	0.59264	1248172
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	9.22852	0.30582	662526
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.51744	0.24911	752016
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.90017	0.16238	362348
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.65611	0.12116	309536
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.46951	0.0487	84913
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	1.44095	0.04775	101121
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.3154	0.04359	96046
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.75574	0.02504	77737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.74518	0.02469	63925
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.68814	0.0228	49056
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.5799	0.01922	45223
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.46383	0.01537	26471
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.35208	0.01167	30531
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.34514	0.01144	25155
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.33861	0.01122	32967
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.28612	0.00948	30162
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.23968	0.00794	23311
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.19479	0.00645	18651
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.18882	0.00626	13879
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.15782	0.00523	10341
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.08515	0.00282	10319
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.08319	0.00276	8969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.06243	0.00207	4626
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.06208	0.00206	5977
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.01968	0.00065	1900
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.01718	0.00057	1607
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.01382	0.00046	1482
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.01156	0.00038	1160
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.00965	0.00032	894
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.00692	0.00023	731
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	2|1239||	0.00604	0.0002	414
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071	2|1239||	0.00538	0.00018	567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	25.58597	0.84787	2711121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	17.88403	0.59264	1248172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	12.74059	0.4222	1035794
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	8.23885	0.27302	598036
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.65141	0.121	278972
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	2.75567	0.09132	200447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	2.14416	0.07105	137023
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	2.09889	0.06955	221749
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.03752	0.06752	152116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.76157	0.05838	159450
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.6065	0.05324	97031
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.46951	0.0487	84913
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	2|1239|||	1.44095	0.04775	101121
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.32277	0.04383	164483
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.3154	0.04359	96046
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.06728	0.03537	163749
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.98967	0.0328	64490
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.79061	0.0262	82399
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	0.75574	0.02504	77737
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.72684	0.02409	48022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.72083	0.02389	61815
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.68814	0.0228	49056
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.5799	0.01922	45223
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.46383	0.01537	26471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.35863	0.01188	49963
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.35208	0.01167	30531
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.34514	0.01144	25155
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.33861	0.01122	32967
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503	2|1239|||	0.28612	0.00948	30162
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.23968	0.00794	23311
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.19479	0.00645	18651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.19396	0.00643	20427
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	0.18882	0.00626	13879
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	2|1239|||	0.15782	0.00523	10341
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.14227	0.00471	16593
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.10699	0.00355	9785
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	0.08515	0.00282	10319
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.08319	0.00276	8969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.06243	0.00207	4626
