#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KRA-15285138Week-4_S20_L002_R1_001.fastq.gz,KRA-15285138Week-4_S20_L002_R2_001.fastq.gz --bowtie2out KRA-15285138Week-4_S20_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KRA-15285138Week-4_S20_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3748357
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.51906	3748357
k__Bacteria|p__Firmicutes	2|1239	72.48485	1.10109	2787154
k__Bacteria|p__Actinobacteria	2|201174	21.75351	0.33045	709506
k__Bacteria|p__Verrucomicrobia	2|74201	3.04268	0.04622	128889
k__Bacteria|p__Bacteroidetes	2|976	1.91082	0.02903	93529
k__Bacteria|p__Bacteria_unclassified	2|	0.75726	0.0115	25510
k__Bacteria|p__Proteobacteria	2|1224	0.05088	0.00077	3769
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	61.52012	0.93453	2418179
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	14.75834	0.22419	484332
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.56784	0.09977	212038
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.32487	0.09608	169770
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.04268	0.04622	128889
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.88423	0.02862	92521
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.6642	0.02528	78061
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.54444	0.02346	65284
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.75726	0.0115	0
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.42787	0.0065	14294
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.36049	0.00548	15013
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.29639	0.0045	9865
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.24664	0.00375	10046
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.09329	0.00142	4725
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07187	0.00109	2385
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.05474	0.00083	1821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.05088	0.00077	3769
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.04615	0.0007	1308
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.04306	0.00065	2392
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.03348	0.00051	1154
k__Bacteria|p__Verrucomicrobia|c__CFGB59108	2|74201|	0.02659	0.0004	0
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.01802	0.00027	815
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.01174	0.00018	463
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00525	8e-05	198
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	59.97837	0.91111	2357595
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	13.91092	0.21131	452037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.32487	0.09608	169770
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.69684	0.08654	187423
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.04268	0.04622	128889
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.88423	0.02862	92521
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.6642	0.02528	78061
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.54444	0.02346	65284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.52991	0.02324	60141
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.871	0.01323	24615
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.75726	0.0115	0
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.42787	0.0065	14294
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.29639	0.0045	9865
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.24921	0.00379	11110
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	2|1239||	0.24664	0.00375	10046
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.11128	0.00169	3903
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.09329	0.00142	4725
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.07187	0.00109	2385
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.06601	0.001	2745
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.05474	0.00083	1821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.05088	0.00077	3769
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	2|1239||	0.04615	0.0007	1308
