#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KTL-15138852Week-24_S190_L001_R1_001.fastq.gz,KTL-15138852Week-24_S190_L001_R2_001.fastq.gz --bowtie2out KTL-15138852Week-24_S190_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KTL-15138852Week-24_S190_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6661293
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.40273	6661293
k__Bacteria|p__Firmicutes	2|1239	88.57885	2.12831	5490868
k__Bacteria|p__Proteobacteria	2|1224	7.45659	0.17916	940648
k__Bacteria|p__Actinobacteria	2|201174	3.01302	0.07239	170485
k__Bacteria|p__Verrucomicrobia	2|74201	0.51603	0.0124	34575
k__Bacteria|p__Fusobacteria	2|32066	0.40451	0.00972	21138
k__Bacteria|p__Bacteroidetes	2|976	0.031	0.00074	3579
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	48.57092	1.16703	3697505
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	33.94454	0.8156	1467173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	7.45659	0.17916	940648
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.86899	0.11699	265807
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.68177	0.04041	96372
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.33125	0.03199	74113
k__Bacteria|p__Firmicutes|c__CFGB76248	2|1239|	1.02557	0.02464	49933
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.51603	0.0124	34575
k__Bacteria|p__Fusobacteria|c__CFGB76375	2|32066|	0.40451	0.00972	21138
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.08475	0.00204	4068
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.08407	0.00202	6382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.031	0.00074	3579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	46.82352	1.12504	3588916
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	33.94454	0.8156	1467173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	7.45659	0.17916	940648
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.86899	0.11699	265807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.72632	0.04148	107338
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.32456	0.03183	68313
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.05356	0.02531	58229
k__Bacteria|p__Firmicutes|c__CFGB76248|o__OFGB76248	2|1239||	1.02557	0.02464	49933
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.51603	0.0124	34575
k__Bacteria|p__Fusobacteria|c__CFGB76375|o__OFGB76375	2|32066||	0.40451	0.00972	21138
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.35721	0.00858	28059
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.08475	0.00204	4068
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.08407	0.00202	6382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.031	0.00074	3579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.02108	0.00051	1251
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.01568	0.00038	919
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	38.98587	0.93672	3137448
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	30.04514	0.7219	1276920
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	7.45659	0.17916	940648
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	4.86899	0.11699	265807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	4.77344	0.11469	272996
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	3.8994	0.09369	190253
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.35463	0.05658	141077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.72632	0.04148	107338
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.32456	0.03183	68313
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.05356	0.02531	58229
k__Bacteria|p__Firmicutes|c__CFGB76248|o__OFGB76248|f__FGB76248	2|1239|||	1.02557	0.02464	49933
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.51603	0.0124	34575
k__Bacteria|p__Fusobacteria|c__CFGB76375|o__OFGB76375|f__FGB76375	2|32066|||	0.40451	0.00972	21138
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.35721	0.00858	28059
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae	2|201174|1760|85006|85017	0.14767	0.00355	8433
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.08475	0.00204	4068
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822	2|1239|||	0.08407	0.00202	6382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.031	0.00074	3579
