#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KYW-15232360Week-4_S205_L002_R1_001.fastq.gz,KYW-15232360Week-4_S205_L002_R2_001.fastq.gz --bowtie2out KYW-15232360Week-4_S205_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KYW-15232360Week-4_S205_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1807469
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.62143	1807469
k__Bacteria|p__Firmicutes	2|1239	78.06349	0.48511	1443277
k__Bacteria|p__Actinobacteria	2|201174	16.77507	0.10425	251322
k__Bacteria|p__Verrucomicrobia	2|74201	3.05308	0.01897	52908
k__Bacteria|p__Proteobacteria	2|1224	1.76125	0.01094	53384
k__Bacteria|p__Bacteroidetes	2|976	0.34712	0.00216	6578
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.19423	0.30571	944669
k__Bacteria|p__Firmicutes|c__CFGB76238	2|1239|	22.99308	0.14289	405789
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	14.01731	0.08711	200814
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.05308	0.01897	52908
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.75776	0.01714	50508
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.1228	0.01319	26175
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.10733	0.0131	40437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.76125	0.01094	53384
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.23057	0.00765	21619
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.41548	0.00258	4588
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.34712	0.00216	6578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.19423	0.30571	944669
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238	2|1239||	22.99308	0.14289	405789
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	13.64121	0.08477	194996
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.05308	0.01897	52908
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.1228	0.01319	26175
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	2.10733	0.0131	40437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.76125	0.01094	53384
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.66938	0.01037	33988
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.23057	0.00765	21619
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.08838	0.00676	16520
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.41548	0.00258	4588
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.34712	0.00216	6578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	31.64468	0.19665	620537
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238|f__FGB76238	2|1239|||	22.99308	0.14289	405789
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	13.64121	0.08477	194996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	7.78778	0.0484	120202
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	3.43295	0.02133	68246
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	3.05308	0.01897	52908
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	2.79326	0.01736	55964
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	2.1228	0.01319	26175
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	2.10733	0.0131	40437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	1.76125	0.01094	53384
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.66938	0.01037	33988
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.08838	0.00676	16520
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.91045	0.00566	16129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.41548	0.00258	4588
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.3761	0.00234	5818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.35018	0.00218	4680
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.32012	0.00199	5490
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.31007	0.00193	5480
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.03705	0.00023	1098
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238|f__FGB76238|g__GGB3478	2|1239||||	22.99308	0.14289	405789
