#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LAS-15140164Week-0_S39_L001_R1_001.fastq.gz,LAS-15140164Week-0_S39_L001_R2_001.fastq.gz --bowtie2out LAS-15140164Week-0_S39_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LAS-15140164Week-0_S39_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11766921
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.13519	11766921
k__Bacteria|p__Firmicutes	2|1239	87.86797	3.63351	10324042
k__Bacteria|p__Bacteroidetes	2|976	8.46385	0.35	1094070
k__Bacteria|p__Actinobacteria	2|201174	2.74152	0.11337	263679
k__Bacteria|p__Bacteria_unclassified	2|	0.69704	0.02882	53684
k__Bacteria|p__Proteobacteria	2|1224	0.22962	0.0095	31446
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.47155	2.99684	8513840
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.31674	0.34391	1072310
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	5.96621	0.24671	796271
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.15678	0.13054	362452
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.20457	0.09116	212662
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	1.49686	0.0619	126688
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.88956	0.03679	80903
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.82	0.03391	104310
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.69125	0.02858	65816
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.68388	0.02828	63826
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.58996	0.0244	71441
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.53695	0.0222	51017
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.47794	0.01976	0
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.25048	0.01036	25389
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.24046	0.00994	34416
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.2191	0.00906	15603
k__Bacteria|p__Actinobacteria|c__CFGB4875	2|201174|	0.14711	0.00608	0
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.12788	0.00529	15758
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.1251	0.00517	14948
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.11163	0.00462	16882
k__Bacteria|p__Firmicutes|c__CFGB76101	2|1239|	0.09815	0.00406	12744
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09403	0.00389	15139
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.07753	0.00321	10207
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.06781	0.0028	6365
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04681	0.00194	5321
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.03104	0.00128	3920
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.01178	0.00049	1336
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.01125	0.00047	779
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00112	5e-05	91
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	67.03454	2.77201	7948825
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.31674	0.34391	1072310
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	5.96621	0.24671	796271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.68904	0.15255	394766
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.15678	0.13054	362452
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.94307	0.08035	179313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.74797	0.07228	170249
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880	2|1239||	1.49686	0.0619	126688
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.88956	0.03679	80903
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.82	0.03391	104310
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.66379	0.02745	62753
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.58996	0.0244	71441
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.47794	0.01976	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.45985	0.01902	37731
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.40355	0.01669	38127
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.2615	0.01081	33349
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.25048	0.01036	25389
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.24046	0.00994	34416
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.2314	0.00957	28085
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.2191	0.00906	15603
k__Bacteria|p__Actinobacteria|c__CFGB4875|o__OFGB4875	2|201174||	0.14711	0.00608	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.1334	0.00552	12890
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.12788	0.00529	15758
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.1251	0.00517	14948
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.11163	0.00462	16882
k__Bacteria|p__Firmicutes|c__CFGB76101|o__OFGB76101	2|1239||	0.09815	0.00406	12744
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.09403	0.00389	15139
