#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LCM-15171981Week-24_S146_L002_R1_001.fastq.gz,LCM-15171981Week-24_S146_L002_R2_001.fastq.gz --bowtie2out LCM-15171981Week-24_S146_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LCM-15171981Week-24_S146_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7816458
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.73924	7816458
k__Bacteria|p__Firmicutes	2|1239	81.75796	2.23955	6682654
k__Bacteria|p__Actinobacteria	2|201174	16.00875	0.43852	975056
k__Bacteria|p__Bacteroidetes	2|976	1.82693	0.05004	105012
k__Bacteria|p__Proteobacteria	2|1224	0.40636	0.01113	53736
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.58256	2.0156	6025557
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.55596	0.28915	632148
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.99877	0.19171	574494
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.11471	0.1401	322876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.82693	0.05004	105012
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3516	0.00963	18262
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.26367	0.00722	41012
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.20271	0.00555	16883
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.18558	0.00508	14343
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.13871	0.0038	12294
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12962	0.00355	10259
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07875	0.00216	4714
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.0641	0.00176	3619
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.03998	0.0011	2674
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.02144	0.00059	0
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.00727	0.0002	562
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00399	0.00011	430
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.00133	4e-05	109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	69.87911	1.91416	5763034
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.47519	0.28694	626933
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.99877	0.19171	574494
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.44425	0.12174	262834
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.70345	0.10145	262523
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.82693	0.05004	105012
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.67045	0.01837	60042
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3516	0.00963	18262
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.26367	0.00722	41012
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.20271	0.00555	16883
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.14163	0.00388	11386
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.13871	0.0038	12294
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.12962	0.00355	10259
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.07875	0.00216	4714
k__Bacteria|p__Actinobacteria|c__CFGB10299|o__OFGB10299	2|201174||	0.0641	0.00176	3619
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.04395	0.0012	2957
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.03998	0.0011	2674
