#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LHC-15273040Week-4_S97_L002_R1_001.fastq.gz,LHC-15273040Week-4_S97_L002_R2_001.fastq.gz --bowtie2out LHC-15273040Week-4_S97_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LHC-15273040Week-4_S97_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4375158
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.29452	4375158
k__Bacteria|p__Firmicutes	2|1239	95.82508	1.24048	4221098
k__Bacteria|p__Actinobacteria	2|201174	4.14523	0.05366	152663
k__Bacteria|p__Bacteroidetes	2|976	0.02969	0.00038	1397
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	85.24265	1.10349	3844301
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	7.06986	0.09152	238629
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.14523	0.05366	152663
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.30139	0.02979	103151
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.66986	0.00867	14819
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.16472	0.00213	7798
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.11647	0.00151	4256
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.08689	0.00112	1793
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07745	0.001	2190
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.04935	0.00064	2203
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.02969	0.00038	1397
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.02366	0.00031	659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	82.12531	1.06313	3739871
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	7.06986	0.09152	238629
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.11734	0.04035	104430
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	3.00743	0.03893	104709
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.30139	0.02979	103151
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.13781	0.01473	47954
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.66986	0.00867	14819
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.16472	0.00213	7798
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.11647	0.00151	4256
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.08689	0.00112	1793
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.07745	0.001	2190
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.04935	0.00064	2203
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.02969	0.00038	1397
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.02366	0.00031	659
