#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LLG-15258750Week-0_S49_L002_R1_001.fastq.gz,LLG-15258750Week-0_S49_L002_R2_001.fastq.gz --bowtie2out LLG-15258750Week-0_S49_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LLG-15258750Week-0_S49_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:16658985
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	6.21591	16658985
k__Bacteria|p__Firmicutes	2|1239	77.7223	4.83115	13227509
k__Bacteria|p__Actinobacteria	2|201174	19.43594	1.20812	2626441
k__Bacteria|p__Bacteroidetes	2|976	2.78198	0.17293	798061
k__Bacteria|p__Proteobacteria	2|1224	0.04377	0.00272	5260
k__Bacteria|p__Bacteria_unclassified	2|	0.01601	0.001	1714
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.53258	4.50856	12362138
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	13.40036	0.83295	1799015
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.81597	0.36152	799621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.71305	0.2308	638529
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.78198	0.17293	798061
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.38132	0.0237	47373
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.31087	0.01932	56715
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.21962	0.01365	27805
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.07557	0.0047	13262
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.06675	0.00415	15173
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.05075	0.00315	6893
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.03782	0.00235	5059
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0269	0.00167	4831
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.02441	0.00152	2542
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.02397	0.00149	3382
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.01601	0.001	1714
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01327	0.00082	1976
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.00984	0.00061	1345
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00822	0.00051	1085
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00745	0.00046	1177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00609	0.00038	742
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.00049	3e-05	73
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	71.83627	4.46528	12249969
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	13.40015	0.83294	1798983
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.54859	0.3449	760706
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.71305	0.2308	638529
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.78198	0.17293	798061
