#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LMP-15073890Week-4_S3_L002_R1_001.fastq.gz,LMP-15073890Week-4_S3_L002_R2_001.fastq.gz --bowtie2out LMP-15073890Week-4_S3_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LMP-15073890Week-4_S3_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13107434
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.34939	13107434
k__Bacteria|p__Firmicutes	2|1239	94.11815	4.09356	12403469
k__Bacteria|p__Actinobacteria	2|201174	2.36932	0.10305	326672
k__Bacteria|p__Verrucomicrobia	2|74201	1.64966	0.07175	200082
k__Bacteria|p__Bacteroidetes	2|976	1.17409	0.05107	111954
k__Bacteria|p__Bacteria_unclassified	2|	0.36561	0.0159	27386
k__Bacteria|p__Proteobacteria	2|1224	0.17096	0.00744	19590
k__Bacteria|p__Synergistetes	2|508458	0.10867	0.00473	13567
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04353	0.00189	4714
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	89.84442	3.90768	11913774
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.25515	0.09809	312578
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.64966	0.07175	200082
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.52122	0.06616	145518
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.25192	0.05445	179344
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.17409	0.05107	111954
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.40452	0.01759	34910
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.36561	0.0159	27386
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.26204	0.0114	26831
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.19704	0.00857	26462
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1189	0.00517	11742
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.11417	0.00497	14094
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.10867	0.00473	13567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0996	0.00433	11843
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.082	0.00357	12343
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07136	0.0031	7747
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.04353	0.00189	4714
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.01219	0.00053	1674
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.00946	0.00041	1226
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.00259	0.00011	210
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00231	0.0001	177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	86.55036	3.76441	11543141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.43678	0.10598	274267
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.22995	0.09699	308554
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.64966	0.07175	200082
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	1.52122	0.06616	145518
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.25192	0.05445	179344
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.17409	0.05107	111954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.85729	0.03729	96366
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.40452	0.01759	34910
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.36561	0.0159	27386
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.26204	0.0114	26831
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.19704	0.00857	26462
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.1189	0.00517	11742
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.11417	0.00497	14094
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.10867	0.00473	13567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.0996	0.00433	11843
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.082	0.00357	12343
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.07136	0.0031	7747
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.04353	0.00189	4714
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.0252	0.0011	4024
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.01219	0.00053	1674
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.00946	0.00041	1226
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	2|1239||	0.00259	0.00011	210
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00231	0.0001	177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	67.07512	2.91736	9541539
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	12.52937	0.54495	1212466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	5.16882	0.22481	567062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.43678	0.10598	274267
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	2.22995	0.09699	308554
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	1.64966	0.07175	200082
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	1.52122	0.06616	145518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.16899	0.05084	111061
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.07165	0.04661	161229
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.9039	0.03931	129810
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.85729	0.03729	96366
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.71853	0.03125	74128
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.40452	0.01759	34910
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.36561	0.0159	27386
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	2|1239|||	0.26204	0.0114	26831
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	0.19704	0.00857	26462
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	0.18027	0.00784	18115
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.1189	0.00517	11742
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.11417	0.00497	14094
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.10867	0.00473	13567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	2|1224|1236|135624|84642	0.0996	0.00433	11843
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	2|1239|||	0.082	0.00357	12343
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.07136	0.0031	7747
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	2|1798710||1906119|	0.04353	0.00189	4714
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.0252	0.0011	4024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	2|1239|186801|186802|990719	0.02405	0.00105	2749
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822	2|1239|||	0.01219	0.00053	1674
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721	2|1239|||	0.00946	0.00041	1226
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.0051	0.00022	893
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388|f__FGB76388	2|1239|||	0.00259	0.00011	210
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	2|1239|||	0.00231	0.0001	177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	33.99528	1.47859	5314545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	2|1239|186801|186802|216572|1263	10.28857	0.44749	952306
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	8.63751	0.37568	1074427
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	2|1239|186801|186802|186803|2569097	4.86619	0.21165	773341
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	2|1239|186801|186802||204475	4.60719	0.20038	507094
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3602	2|1239|186801|186802|186803|	4.41049	0.19183	514695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	2|1239|186801|186802|186803|207244	3.5729	0.1554	429880
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora	2|1239|186801|186802|186803|2719231	3.48687	0.15166	439906
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	3.07285	0.13365	385089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter	2|1239|186801|186802|541000|2527773	2.43678	0.10598	274267
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	1.94586	0.08463	248526
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	2|74201|203494|48461|1647988|239934	1.64966	0.07175	200082
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011	2|1239||||	1.52122	0.06616	145518
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653	2|1239|186801|186802|186803|	1.31796	0.05732	138741
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella	2|201174|84998|1643822|1643826|84111	1.20528	0.05242	171386
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3281	2|976|200643|171549|171550|	1.12699	0.04902	105266
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	1.01895	0.04432	153183
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9719	2|1239|186801|186802|216572|	0.99755	0.04339	124073
