#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LNO-15044602Week-0_S240_L001_R1_001.fastq.gz,LNO-15044602Week-0_S240_L001_R2_001.fastq.gz --bowtie2out LNO-15044602Week-0_S240_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LNO-15044602Week-0_S240_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:18522284
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.36265	6.99021	18316736
k__Archaea	2157	1.63735	0.11636	205548
k__Bacteria|p__Firmicutes	2|1239	72.21292	5.13186	13640347
k__Bacteria|p__Actinobacteria	2|201174	14.81116	1.05256	2270617
k__Bacteria|p__Bacteroidetes	2|976	10.7679	0.76523	2294974
k__Archaea|p__Euryarchaeota	2157|28890	1.56912	0.11151	194442
k__Bacteria|p__Proteobacteria	2|1224	0.33984	0.02415	82547
k__Bacteria|p__Bacteria_unclassified	2|	0.23083	0.0164	28251
k__Archaea|p__Thaumarchaeota	2157|651137	0.06823	0.00485	11106
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.17698	3.70799	10571487
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.7679	0.76523	2294974
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.83202	0.62765	1348773
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.82489	0.55608	1015711
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.97914	0.42491	921844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.01834	0.28557	617359
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.64105	0.18769	450742
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.56912	0.11151	194442
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.97122	0.06902	153102
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.62443	0.04438	129476
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.23083	0.0164	28251
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.20598	0.01464	51133
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.19133	0.0136	39127
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.16408	0.01166	26016
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.14905	0.01059	34186
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.13263	0.00943	34438
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.11706	0.00832	24360
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0939	0.00667	24213
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.08537	0.00607	19354
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.06823	0.00485	11106
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.05188	0.00369	7324
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.04603	0.00327	7350
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.04262	0.00303	7130
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.03804	0.0027	6639
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.02815	0.002	4658
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02396	0.0017	4581
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.02067	0.00147	4823
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01545	0.0011	1935
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.01267	0.0009	1911
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.01011	0.00072	1514
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00756	0.00054	1113
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00723	0.00051	1264
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.00206	0.00015	279
k__Bacteria|p__Firmicutes|c__CFGB24517	2|1239|	0.00178	0.00013	348
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00169	0.00012	298
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.42491	3.51241	10066082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.7679	0.76523	2294974
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	8.38548	0.59592	1269118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.82489	0.55608	1015711
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.13799	0.36513	803563
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.01834	0.28557	617359
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.63311	0.18712	484310
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.50124	0.17775	427178
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.56912	0.11151	194442
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.97122	0.06902	153102
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.84115	0.05978	118281
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.62443	0.04438	129476
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.23083	0.0164	28251
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.20598	0.01464	51133
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.19133	0.0136	39127
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.16408	0.01166	26016
