#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LSB-15075834Week-24_S10_L002_R1_001.fastq.gz,LSB-15075834Week-24_S10_L002_R2_001.fastq.gz --bowtie2out LSB-15075834Week-24_S10_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LSB-15075834Week-24_S10_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11091940
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.68496	11091940
k__Bacteria|p__Firmicutes	2|1239	77.43092	2.8533	8322597
k__Bacteria|p__Bacteroidetes	2|976	11.81286	0.4353	1819879
k__Bacteria|p__Actinobacteria	2|201174	10.44391	0.38485	919286
k__Bacteria|p__Proteobacteria	2|1224	0.14319	0.00528	13240
k__Bacteria|p__Synergistetes	2|508458	0.06986	0.00257	7389
k__Bacteria|p__Fusobacteria	2|32066	0.05733	0.00211	6785
k__Bacteria|p__Bacteria_unclassified	2|	0.04193	0.00154	2764
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	68.9659	2.54136	7471878
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.81233	0.43528	1819843
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.50527	0.31342	757915
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.58098	0.09511	293678
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.93863	0.07144	161371
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	1.83364	0.06757	138294
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.77219	0.0653	203667
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.52364	0.0193	55834
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.4506	0.0166	36285
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.29678	0.01094	25056
