#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan LSS-15118908Week-4_S218_L001_R1_001.fastq.gz,LSS-15118908Week-4_S218_L001_R2_001.fastq.gz --bowtie2out LSS-15118908Week-4_S218_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LSS-15118908Week-4_S218_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:17482983
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.97765	6.54066	17479635
k__Archaea	2157	0.02235	0.00146	3348
k__Bacteria|p__Firmicutes	2|1239	82.48657	5.39637	14415222
k__Bacteria|p__Actinobacteria	2|201174	8.8886	0.5815	1254926
k__Bacteria|p__Bacteroidetes	2|976	7.3375	0.48003	1587513
k__Bacteria|p__Verrucomicrobia	2|74201	0.9076	0.05938	165577
k__Bacteria|p__Proteobacteria	2|1224	0.20007	0.01309	38674
k__Bacteria|p__Bacteria_unclassified	2|	0.15731	0.01029	17723
k__Archaea|p__Thaumarchaeota	2157|651137	0.02235	0.00146	3348
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	40.77819	2.66776	7407261
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	32.4529	2.12311	5610819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.3375	0.48003	1587513
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.57638	0.36481	770161
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.31222	0.21669	484765
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.70213	0.11136	274084
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.36391	0.08923	196246
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.15257	0.0754	182138
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.9076	0.05938	165577
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.77277	0.05056	73378
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.73868	0.04833	156044
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.64613	0.04227	88059
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.3895	0.02548	39287
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.29783	0.01948	43221
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.2809	0.01838	42907
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.22417	0.01467	42946
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.1579	0.01033	30067
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.15731	0.01029	17723
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.15561	0.01018	28742
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.14347	0.00939	22780
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.13103	0.00857	31351
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.09737	0.00637	15171
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09083	0.00594	16427
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.08282	0.00542	15656
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.05673	0.00371	12009
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.03451	0.00226	5599
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.03201	0.00209	0
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03178	0.00208	5367
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03069	0.00201	4613
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.02441	0.0016	5093
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.02235	0.00146	3348
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.02219	0.00145	2791
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02182	0.00143	5625
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01956	0.00128	4641
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.01886	0.00123	3263
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.01151	0.00075	1754
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00635	0.00042	824
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00523	0.00034	603
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.0037	0.00024	570
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.00257	0.00017	506
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00092	6e-05	169
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.0006	4e-05	81
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00045	3e-05	66
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	39.99125	2.61627	7273280
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	32.4529	2.12311	5610819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.3375	0.48003	1587513
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	5.49319	0.35937	756767
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.89756	0.18956	425258
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.52629	0.09985	245318
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	1.36391	0.08923	196246
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.15257	0.0754	182138
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.9076	0.05938	165577
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	0.77277	0.05056	73378
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.76492	0.05004	129585
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.73868	0.04833	156044
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.64613	0.04227	88059
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.41466	0.02713	59507
