#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MAC-15216675Week-24_S287_L002_R1_001.fastq.gz,MAC-15216675Week-24_S287_L002_R2_001.fastq.gz --bowtie2out MAC-15216675Week-24_S287_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MAC-15216675Week-24_S287_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4476776
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.61372	4476776
k__Bacteria|p__Firmicutes	2|1239	93.94329	1.51598	4253430
k__Bacteria|p__Actinobacteria	2|201174	5.87258	0.09477	207967
k__Bacteria|p__Bacteroidetes	2|976	0.16827	0.00272	14939
k__Bacteria|p__Bacteria_unclassified	2|	0.01586	0.00026	440
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	87.80066	1.41685	4020011
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.7147	0.05994	132335
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.6483	0.05887	136076
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.15788	0.03482	75632
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.03652	0.01673	34844
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.61445	0.00992	29522
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.35265	0.00569	12435
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.16827	0.00272	14939
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12269	0.00198	3793
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.12261	0.00198	4586
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.09342	0.00151	4355
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.06831	0.0011	0
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.02203	0.00036	1043
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02098	0.00034	1238
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.01586	0.00026	440
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	85.57225	1.38089	3927359
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.6483	0.05887	136076
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.33761	0.05386	118370
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.15788	0.03482	75632
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.06204	0.03328	86110
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.03652	0.01673	34844
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.61445	0.00992	29522
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.3771	0.00609	13965
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.35265	0.00569	12435
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.16827	0.00272	14939
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.16637	0.00268	6542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.12269	0.00198	3793
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.12261	0.00198	4586
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.09342	0.00151	4355
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.06831	0.0011	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.02203	0.00036	1043
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.02098	0.00034	1238
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.01586	0.00026	440
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	64.89956	1.04729	3173157
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	16.61323	0.26809	588629
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.6483	0.05887	136076
