#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MAL-15118827Week-4_S224_L001_R1_001.fastq.gz,MAL-15118827Week-4_S224_L001_R2_001.fastq.gz --bowtie2out MAL-15118827Week-4_S224_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MAL-15118827Week-4_S224_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10968207
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.99925	10968207
k__Bacteria|p__Firmicutes	2|1239	88.07824	3.52247	9817897
k__Bacteria|p__Actinobacteria	2|201174	7.98711	0.31942	750348
k__Bacteria|p__Bacteroidetes	2|976	3.93464	0.15736	399962
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	80.95509	3.2376	9107183
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.76762	0.19067	468425
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.93464	0.15736	399962
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.21949	0.12876	281923
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.57717	0.10307	286415
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.5856	0.06341	135080
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.46479	0.05858	169271
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.27487	0.05099	91143
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.12337	0.00493	18044
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.04018	0.00161	4328
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02991	0.0012	3564
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.00487	0.00019	690
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00258	0.0001	294
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	75.92057	3.03625	8586123
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	5.03451	0.20134	521060
