#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MAP-15275337Week-4_S56_L002_R1_001.fastq.gz,MAP-15275337Week-4_S56_L002_R2_001.fastq.gz --bowtie2out MAP-15275337Week-4_S56_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MAP-15275337Week-4_S56_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10084213
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.85875	3.5027	10075574
k__Archaea	2157	0.14125	0.00495	8639
k__Bacteria|p__Firmicutes	2|1239	79.80476	2.79928	8031751
k__Bacteria|p__Actinobacteria	2|201174	11.44574	0.40148	899185
k__Bacteria|p__Bacteroidetes	2|976	7.29034	0.25572	1018135
k__Bacteria|p__Verrucomicrobia	2|74201	1.20188	0.04216	117561
k__Archaea|p__Euryarchaeota	2157|28890	0.14125	0.00495	8639
k__Bacteria|p__Proteobacteria	2|1224	0.09495	0.00333	7669
k__Bacteria|p__Bacteria_unclassified	2|	0.02108	0.00074	1273
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	68.39984	2.39923	7093753
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	9.61846	0.33738	785213
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.62354	0.30248	681793
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.29034	0.25572	1018135
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	1.74436	0.06119	134075
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.20188	0.04216	117561
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.07784	0.03781	83317
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.69296	0.02431	43298
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.38911	0.01365	44051
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.22594	0.00793	17430
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.21578	0.00757	23283
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.16578	0.00582	16803
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.14125	0.00495	8639
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0702	0.00246	5589
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.05651	0.00198	4500
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02475	0.00087	2080
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.02216	0.00078	1794
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.02108	0.00074	1273
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.01823	0.00064	1626
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	66.67848	2.33885	6933109
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	9.61846	0.33738	785213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.29034	0.25572	1018135
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.44541	0.22608	484232
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.17813	0.0764	197561
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	1.74436	0.06119	134075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.53907	0.05399	139912
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.20188	0.04216	117561
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.03488	0.0363	79217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.69296	0.02431	43298
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.38911	0.01365	44051
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.22594	0.00793	17430
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.21578	0.00757	23283
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.18229	0.00639	20732
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.16578	0.00582	16803
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.14125	0.00495	8639
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0702	0.00246	5589
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.05651	0.00198	4500
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.04296	0.00151	4100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02475	0.00087	2080
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.02216	0.00078	1794
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.02108	0.00074	1273
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.01823	0.00064	1626
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	43.55693	1.52783	4959175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	18.65971	0.65452	1546146
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	6.91816	0.24267	566263
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.44541	0.22608	484232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	4.3868	0.15387	722077
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	2.69673	0.09459	218552
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.26797	0.07955	214762
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	2.17813	0.0764	197561
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	2|201174|||	1.74436	0.06119	134075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.72043	0.06035	174817
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.32597	0.04651	120360
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	1.20188	0.04216	117561
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.13213	0.03971	100708
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.03488	0.0363	79217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.68088	0.02388	41703
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.62201	0.02182	48529
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.38911	0.01365	44051
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.37532	0.01316	42481
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.22594	0.00793	17430
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.21578	0.00757	23283
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	0.2131	0.00747	19552
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.19051	0.00668	28261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.18229	0.00639	20732
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.16578	0.00582	16803
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.14125	0.00495	8639
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.0702	0.00246	5589
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.06975	0.00245	10554
