#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MBB-15053946Week-24_S201_L001_R1_001.fastq.gz,MBB-15053946Week-24_S201_L001_R2_001.fastq.gz --bowtie2out MBB-15053946Week-24_S201_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MBB-15053946Week-24_S201_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:12036677
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.95934	4.30011	11880478
k__Archaea	2157	2.04066	0.08958	156199
k__Bacteria|p__Firmicutes	2|1239	66.45738	2.91727	8467791
k__Bacteria|p__Actinobacteria	2|201174	22.03862	0.96743	2146080
k__Bacteria|p__Verrucomicrobia	2|74201	5.60204	0.24591	685753
k__Bacteria|p__Bacteroidetes	2|976	2.49635	0.10958	440306
k__Archaea|p__Euryarchaeota	2157|28890	2.04066	0.08958	156199
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.49107	0.02156	53670
k__Bacteria|p__Bacteria_unclassified	2|	0.46439	0.02039	35108
k__Bacteria|p__Proteobacteria	2|1224	0.20589	0.00904	24271
k__Bacteria|p__Synergistetes	2|508458	0.20359	0.00894	27499
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	58.43344	2.56504	7535780
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	17.48086	0.76735	1630418
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	5.60204	0.24591	685753
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.55776	0.20007	515662
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.12255	0.13707	363543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.49635	0.10958	440306
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.04066	0.08958	156199
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.15257	0.05059	97792
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.85269	0.03743	0
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.74874	0.03287	80750
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.71593	0.03143	97041
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.49762	0.02184	48042
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.49107	0.02156	53670
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.46439	0.02039	35108
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.43414	0.01906	61508
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.20359	0.00894	27499
