#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MEW-10008888Week-24_S1_L002_R1_001.fastq.gz,MEW-10008888Week-24_S1_L002_R2_001.fastq.gz --bowtie2out MEW-10008888Week-24_S1_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MEW-10008888Week-24_S1_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6138943
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.25019	6138943
k__Bacteria|p__Firmicutes	2|1239	86.43848	1.94503	5327072
k__Bacteria|p__Actinobacteria	2|201174	10.15644	0.22854	511909
k__Bacteria|p__Bacteroidetes	2|976	2.50481	0.05636	236717
k__Bacteria|p__Verrucomicrobia	2|74201	0.61295	0.01379	41770
k__Bacteria|p__Proteobacteria	2|1224	0.14058	0.00316	12295
k__Bacteria|p__Synergistetes	2|508458	0.13525	0.00304	8735
k__Bacteria|p__Bacteria_unclassified	2|	0.01149	0.00026	445
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	82.65963	1.86	5100885
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.57462	0.12544	286917
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.84131	0.06393	142419
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.50481	0.05636	236717
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.43061	0.05469	151718
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.61295	0.01379	41770
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.52852	0.01189	28746
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.36908	0.0083	19655
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.17577	0.00396	8643
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.13525	0.00304	8735
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.12885	0.0029	6582
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.09712	0.00219	7992
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08432	0.0019	9215
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05319	0.0012	2846
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.02187	0.00049	1044
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.01481	0.00033	1028
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.01149	0.00026	445
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01087	0.00024	706
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00307	7e-05	234
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00133	3e-05	73
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	77.31564	1.73975	4794685
