#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MGJ-15154467Week-4_S282_L001_R1_001.fastq.gz,MGJ-15154467Week-4_S282_L001_R2_001.fastq.gz --bowtie2out MGJ-15154467Week-4_S282_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MGJ-15154467Week-4_S282_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13762309
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	5.16991	13762309
k__Bacteria|p__Firmicutes	2|1239	75.93971	3.92601	10597135
k__Bacteria|p__Actinobacteria	2|201174	18.75427	0.96958	2099324
k__Bacteria|p__Bacteroidetes	2|976	4.61366	0.23852	989116
k__Bacteria|p__Bacteria_unclassified	2|	0.50385	0.02605	46068
k__Bacteria|p__Proteobacteria	2|1224	0.18852	0.00975	30666
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	70.60609	3.65027	9921566
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.72414	0.55443	1209740
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.03013	0.41515	889584
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.61366	0.23852	989116
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.67729	0.08671	209293
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.27169	0.06575	136962
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.56798	0.02936	73746
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.52905	0.02735	79033
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.43911	0.0227	45141
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.42427	0.02193	67474
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.38964	0.02014	34692
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.13095	0.00677	23761
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.1142	0.0059	0
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.08507	0.0044	13231
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05756	0.00298	6905
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.05013	0.00259	5699
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.0417	0.00216	7884
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.0416	0.00215	6941
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.02158	0.00112	2369
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.01495	0.00077	1966
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.01486	0.00077	2355
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00433	0.00022	546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	68.0457	3.5179	9579478
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.49738	0.5427	1180555
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	7.01764	0.36281	769925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.61366	0.23852	989116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.47525	0.12797	331155
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.67729	0.08671	209293
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.27169	0.06575	136962
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.0125	0.05235	119659
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.52905	0.02735	79033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.43911	0.0227	45141
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.42427	0.02193	67474
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.38964	0.02014	34692
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.28538	0.01475	33719
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.2577	0.01332	37254
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.12654	0.00654	23214
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.1142	0.0059	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.08515	0.0044	10933
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102	2|1239||	0.08507	0.0044	13231
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.05756	0.00298	6905
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.05013	0.00259	5699
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.0417	0.00216	7884
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.0416	0.00215	6941
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.0249	0.00129	2773
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.02158	0.00112	2369
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.01495	0.00077	1966
k__Bacteria|p__Firmicutes|c__CFGB1425|o__OFGB1425	2|1239||	0.01486	0.00077	2355
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.00442	0.00023	547
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00433	0.00022	546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	36.51955	1.88803	5752916
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	27.3096	1.41188	3228378
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	10.49738	0.5427	1180555
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.52614	0.3374	719959
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.09406	0.15996	721070
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.47525	0.12797	331155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.89895	0.09817	250379
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.67261	0.08647	208554
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	1.27169	0.06575	136962
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.0125	0.05235	119659
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.73578	0.03804	116010
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.52905	0.02735	79033
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.5074	0.02623	61722
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.4915	0.02541	49966
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.42427	0.02193	67474
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.41012	0.0212	40720
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.40565	0.02097	66651
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.38964	0.02014	34692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.37817	0.01955	85385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.30789	0.01592	43741
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.28538	0.01475	33719
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.2577	0.01332	37254
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.22676	0.01172	29185
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.12654	0.00654	23214
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992	2|201174|||	0.1142	0.0059	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.08515	0.0044	10933
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102|f__FGB76102	2|1239|||	0.08507	0.0044	13231
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.05756	0.00298	6905
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.05013	0.00259	5699
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	0.0417	0.00216	7884
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.0416	0.00215	6941
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.0249	0.00129	2773
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047	2|1239|||	0.02158	0.00112	2369
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.01642	0.00085	1975
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775|f__FGB28775	2|1239|||	0.01495	0.00077	1966
k__Bacteria|p__Firmicutes|c__CFGB1425|o__OFGB1425|f__FGB1425	2|1239|||	0.01486	0.00077	2355
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.01257	0.00065	2446
