#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MH-15040534Week-24_S66_L001_R1_001.fastq.gz,MH-15040534Week-24_S66_L001_R2_001.fastq.gz --bowtie2out MH-15040534Week-24_S66_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MH-15040534Week-24_S66_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5480435
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.21937	2.27904	5449169
k__Archaea	2157	0.78063	0.01793	31266
k__Bacteria|p__Firmicutes	2|1239	86.82482	1.99434	4773219
k__Bacteria|p__Actinobacteria	2|201174	8.19856	0.18832	397759
k__Bacteria|p__Bacteroidetes	2|976	3.30618	0.07594	221189
k__Archaea|p__Euryarchaeota	2157|28890	0.78063	0.01793	31266
k__Bacteria|p__Verrucomicrobia	2|74201	0.72569	0.01667	50480
k__Bacteria|p__Bacteria_unclassified	2|	0.16194	0.00372	6406
k__Bacteria|p__Proteobacteria	2|1224	0.00218	5e-05	116
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	54.52943	1.25253	3463592
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.03544	0.11566	227550
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.41294	0.10136	220450
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.78562	0.08695	177309
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.17561	0.07294	145599
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.73775	0.06289	189890
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.73323	0.03981	88063
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.31524	0.03021	79094
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.07877	0.02478	76513
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.78063	0.01793	31266
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.72569	0.01667	50480
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.56843	0.01306	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.16194	0.00372	6406
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12278	0.00282	8149
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.11878	0.00273	5777
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.07954	0.00183	3629
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.07924	0.00182	3599
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.06509	0.0015	4825
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.06264	0.00144	3786
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.05663	0.0013	2885
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.05155	0.00118	3642
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.0417	0.00096	1995
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.02844	0.00065	0
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.01811	0.00042	1521
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.01222	0.00028	770
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.00449	0.0001	268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00218	5e-05	116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	53.08133	1.21926	3377555
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.03544	0.11566	227550
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	4.22965	0.09715	210053
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.03027	0.0696	138112
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.73775	0.06289	189890
