#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MML-15088227Week-0_S16_L002_R1_001.fastq.gz,MML-15088227Week-0_S16_L002_R2_001.fastq.gz --bowtie2out MML-15088227Week-0_S16_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MML-15088227Week-0_S16_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4107395
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.61407	1.55655	4041054
k__Archaea	2157	2.38593	0.03805	66341
k__Bacteria|p__Firmicutes	2|1239	63.41923	1.01128	2700276
k__Bacteria|p__Actinobacteria	2|201174	29.11667	0.46429	1032374
k__Bacteria|p__Bacteroidetes	2|976	3.26615	0.05208	251553
k__Archaea|p__Euryarchaeota	2157|28890	2.38593	0.03805	66341
k__Bacteria|p__Bacteria_unclassified	2|	1.63257	0.02603	44834
k__Bacteria|p__Proteobacteria	2|1224	0.16418	0.00262	11319
k__Bacteria|p__Synergistetes	2|508458	0.01527	0.00024	698
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.82752	0.76266	2161259
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	27.26224	0.43472	948515
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.90292	0.12602	282025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.26615	0.05208	251553
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.05245	0.04867	87893
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.38593	0.03805	66341
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	2.09154	0.03335	69479
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.85442	0.02957	83859
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	1.63257	0.02603	44834
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.80859	0.01289	28617
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.62593	0.00998	28593
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.16492	0.00263	4193
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.16418	0.00262	11319
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.10408	0.00166	5279
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.06357	0.00101	2460
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.05665	0.0009	2881
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.02994	0.00048	1348
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.02419	0.00039	848
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.01527	0.00024	698
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00786	0.00013	407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	47.51987	0.75775	2148563
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	27.26224	0.43472	948515
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.90292	0.12602	282025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.26615	0.05208	251553
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.02548	0.04824	86909
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.38593	0.03805	66341
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	2.09154	0.03335	69479
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	1.63257	0.02603	44834
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.13884	0.01816	55988
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.71558	0.01141	27871
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.62593	0.00998	28593
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.60851	0.0097	19253
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.30565	0.00487	12612
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.20008	0.00319	9364
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.16492	0.00263	4193
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.1284	0.00205	9986
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.10408	0.00166	5279
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.06357	0.00101	2460
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.05665	0.0009	2881
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.03483	0.00056	1294
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.02994	0.00048	1348
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02697	0.00043	984
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.02419	0.00039	848
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.01527	0.00024	698
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.00786	0.00013	407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.002	3e-05	84
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.00095	2e-05	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	29.96245	0.47778	1482446
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	27.26224	0.43472	948515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	12.56018	0.20028	469600
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	7.5653	0.12064	266839
