#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MNB-15165825Week-0_S296_L001_R1_001.fastq.gz,MNB-15165825Week-0_S296_L001_R2_001.fastq.gz --bowtie2out MNB-15165825Week-0_S296_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MNB-15165825Week-0_S296_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7007236
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.62307	7007236
k__Bacteria|p__Firmicutes	2|1239	73.07687	1.91686	5446471
k__Bacteria|p__Actinobacteria	2|201174	26.77502	0.70233	1546819
k__Bacteria|p__Bacteroidetes	2|976	0.08842	0.00232	10940
k__Bacteria|p__Bacteria_unclassified	2|	0.05075	0.00133	2292
k__Bacteria|p__Proteobacteria	2|1224	0.00894	0.00023	714
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	68.1723	1.78821	5108435
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.67391	0.54229	1213542
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.10111	0.16004	333277
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.3424	0.06144	165578
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.00217	0.02629	75959
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.79394	0.02083	41469
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.42289	0.01109	34123
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.21577	0.00566	11985
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0934	0.00245	6352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.08842	0.00232	10940
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.05075	0.00133	2292
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00894	0.00023	714
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.00338	9e-05	195
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	66.13059	1.73465	4970779
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	20.55388	0.53914	1205704
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.02623	0.15807	326162
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.3424	0.06144	165578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.87905	0.04929	127549
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.00217	0.02629	75959
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.79394	0.02083	41469
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.42289	0.01109	34123
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.21577	0.00566	11985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.16266	0.00427	10107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.08842	0.00232	10940
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.07488	0.00196	7115
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.05075	0.00133	2292
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.04704	0.00123	3621
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.02495	0.00065	1434
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.02142	0.00056	1297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.0068	0.00018	442
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.00338	9e-05	195
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.00213	6e-05	272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	47.30151	1.24075	3777717
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	20.55388	0.53914	1205704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	15.10339	0.39617	881065
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.02623	0.15807	326162
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.33712	0.0613	165196
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.87905	0.04929	127549
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	1.00217	0.02629	75959
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.902	0.02366	64618
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.79394	0.02083	41469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.71253	0.01869	68495
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.42289	0.01109	34123
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.29282	0.00768	17742
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	2|1239|||	0.21577	0.00566	11985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.16266	0.00427	10107
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.12003	0.00315	7838
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.07984	0.00209	9998
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.07488	0.00196	7115
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.05075	0.00133	2292
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.04704	0.00123	3621
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.02495	0.00065	1434
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.02142	0.00056	1297
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.00858	0.00023	942
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.0068	0.00018	442
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.00528	0.00014	382
