#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan MOW-15248879Week-0_S88_L002_R1_001.fastq.gz,MOW-15248879Week-0_S88_L002_R2_001.fastq.gz --bowtie2out MOW-15248879Week-0_S88_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MOW-15248879Week-0_S88_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2050619
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.97715	0.7312	2050328
k__Archaea	2157	0.02285	0.00017	291
k__Bacteria|p__Firmicutes	2|1239	64.78721	0.47383	1319986
k__Bacteria|p__Verrucomicrobia	2|74201	25.9906	0.19009	530076
k__Bacteria|p__Actinobacteria	2|201174	4.94713	0.03618	88354
k__Bacteria|p__Bacteroidetes	2|976	2.20888	0.01615	41955
k__Bacteria|p__Proteobacteria	2|1224	2.04332	0.01494	69957
k__Archaea|p__Euryarchaeota	2157|28890	0.02285	0.00017	291
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	50.78833	0.37145	1057180
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	25.9906	0.19009	530076
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.68953	0.05624	130557
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.71141	0.03446	84823
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	2.27806	0.01666	47882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.07307	0.01516	39087
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.60415	0.01173	59564
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.39528	0.0102	28055
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.29916	0.0095	30666
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.94461	0.00691	18029
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.43917	0.00321	10393
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.22117	0.00162	3294
k__Bacteria|p__Bacteroidetes|c__CFGB642	2|976|	0.13581	0.00099	2868
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.11622	0.00085	2289
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.05898	0.00043	1372
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.04889	0.00036	1096
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.03274	0.00024	473
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.02285	0.00017	291
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01456	0.00011	237
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.0069	5e-05	152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.53449	0.36228	1033604
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	25.9906	0.19009	530076
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.68953	0.05624	130557
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.87572	0.02103	47385
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	2.27806	0.01666	47882
