#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan NEP-15267075Week-4_S117_L002_R1_001.fastq.gz,NEP-15267075Week-4_S117_L002_R2_001.fastq.gz --bowtie2out NEP-15267075Week-4_S117_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o NEP-15267075Week-4_S117_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5145122
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.63027	5145122
k__Bacteria|p__Firmicutes	2|1239	94.40191	1.53901	4823143
k__Bacteria|p__Actinobacteria	2|201174	2.96378	0.04832	120409
k__Bacteria|p__Bacteroidetes	2|976	2.62207	0.04275	200597
k__Bacteria|p__Proteobacteria	2|1224	0.01224	0.0002	973
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	88.38435	1.4409	4555041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.54227	0.09035	250495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.62207	0.04275	200597
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.04986	0.03342	76778
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.91392	0.0149	43631
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.15203	0.00248	5048
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.13327	0.00217	4961
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.13171	0.00215	4621
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.05658	0.00092	2914
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01224	0.0002	973
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.0017	3e-05	63
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	88.38435	1.4409	4555041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.54227	0.09035	250495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.62207	0.04275	200597
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.04986	0.03342	76778
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.91392	0.0149	43631
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.15203	0.00248	5048
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.13327	0.00217	4961
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.13171	0.00215	4621
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.05658	0.00092	2914
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.01224	0.0002	973
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.0017	3e-05	63
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	82.93973	1.35214	4306015
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.5048	0.08974	248810
