#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan NEQ-15307557Week-0_S296_L002_R1_001.fastq.gz,NEQ-15307557Week-0_S296_L002_R2_001.fastq.gz --bowtie2out NEQ-15307557Week-0_S296_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o NEQ-15307557Week-0_S296_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7947370
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.82633	7947370
k__Bacteria|p__Firmicutes	2|1239	69.53478	1.96528	5400839
k__Bacteria|p__Bacteroidetes	2|976	22.48165	0.6354	2013774
k__Bacteria|p__Actinobacteria	2|201174	7.07369	0.19993	436325
k__Bacteria|p__Proteobacteria	2|1224	0.88335	0.02497	95095
k__Bacteria|p__Bacteria_unclassified	2|	0.02654	0.00075	1337
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	60.83674	1.71945	4839703
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	19.33772	0.54655	1777112
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.34664	0.12285	265341
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.97337	0.08404	205922
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	2.96143	0.0837	220639
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.72705	0.07708	170984
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.67144	0.04724	115374
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.65938	0.0469	97702
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.94758	0.02678	42115
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.56232	0.01589	32394
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.5169	0.01461	63062
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.33727	0.00953	20965
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.24885	0.00703	21745
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.23317	0.00659	20223
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.2297	0.00649	18759
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	0.18251	0.00516	16023
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.10258	0.0029	9381
k__Bacteria|p__Firmicutes|c__CFGB9583	2|1239|	0.0369	0.00104	3202
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02467	0.0007	2550
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.02222	0.00063	1081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01502	0.00042	907
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.01463	0.00041	0
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.00432	0.00012	0
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00336	0.0001	327
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	57.09207	1.61361	4565819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	19.33772	0.54655	1777112
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.19119	0.11846	256024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.74467	0.10584	273884
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	2.96143	0.0837	220639
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.11519	0.05978	131329
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.06094	0.05825	143107
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.67144	0.04724	115374
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.65938	0.0469	97702
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.94758	0.02678	42115
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.91243	0.02579	62815
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.56232	0.01589	32394
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.41689	0.01178	57470
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.33727	0.00953	20965
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.24885	0.00703	21745
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.23317	0.00659	20223
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.2297	0.00649	18759
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	2|976||	0.18251	0.00516	16023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.15545	0.00439	9317
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.10258	0.0029	9381
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.1	0.00283	5592
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583	2|1239||	0.0369	0.00104	3202
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.02467	0.0007	2550
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.02222	0.00063	1081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01502	0.00042	907
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.01463	0.00041	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00806	0.00023	555
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.00432	0.00012	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.00336	0.0001	327
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	32.10774	0.90747	2756729
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	20.25376	0.57244	1422562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	16.49153	0.4661	1481644
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	4.19119	0.11846	256024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.74467	0.10584	273884
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405|f__FGB4405	2|976|||	2.96143	0.0837	220639
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.57025	0.07264	220654
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.11519	0.05978	131329
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	2.06094	0.05825	143107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.01357	0.05691	224436
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	1.65938	0.0469	97702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.27565	0.03605	99686
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	1.00416	0.02838	65573
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120|f__FGB9120	2|1239|||	0.94758	0.02678	42115
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.91243	0.02579	62815
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.66728	0.01886	49801
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.6038	0.01707	39100
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.5545	0.01567	31915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.5475	0.01547	37091
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.41689	0.01178	57470
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.33727	0.00953	20965
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.26518	0.00749	31441
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.24885	0.00703	21745
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.23317	0.00659	20223
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.2297	0.00649	18759
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479|f__FGB11479	2|976|||	0.18251	0.00516	16023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.15545	0.00439	9317
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.10586	0.00299	6197
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	2|1224|28211|204457|41297	0.10258	0.0029	9381
