#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan NFR-15143937Week-0_S267_L001_R1_001.fastq.gz,NFR-15143937Week-0_S267_L001_R2_001.fastq.gz --bowtie2out NFR-15143937Week-0_S267_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o NFR-15143937Week-0_S267_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:12783094
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.76287	12783094
k__Bacteria|p__Firmicutes	2|1239	68.0206	3.23973	9422290
k__Bacteria|p__Actinobacteria	2|201174	30.99066	1.47604	3276640
k__Bacteria|p__Bacteria_unclassified	2|	0.95628	0.04555	78440
k__Bacteria|p__Bacteroidetes	2|976	0.01675	0.0008	4053
k__Bacteria|p__Proteobacteria	2|1224	0.01571	0.00075	1671
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.22265	2.72544	8166814
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	25.04087	1.19266	2629596
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	8.58192	0.40875	1015842
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.94979	0.28338	647044
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.20556	0.05742	116825
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.95628	0.04555	78440
k__Bacteria|p__Firmicutes|c__CFGB76238	2|1239|	0.37405	0.01782	50595
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.25748	0.01226	37690
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.21212	0.0101	16111
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12437	0.00592	11754
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02241	0.00107	3902
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01954	0.00093	2688
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.01675	0.0008	4053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01001	0.00048	1134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0057	0.00027	537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	55.89204	2.66206	8003412
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	24.83199	1.18272	2605112
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	8.58192	0.40875	1015842
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.33663	0.25418	553472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.27311	0.06064	156915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.20556	0.05742	116825
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.95628	0.04555	78440
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.61316	0.0292	93572
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238	2|1239||	0.37405	0.01782	50595
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.25748	0.01226	37690
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.21212	0.0101	16111
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.12497	0.00595	15036
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.12437	0.00592	11754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.0575	0.00274	6487
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.02241	0.00107	3902
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.01954	0.00093	2688
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.01675	0.0008	4053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01001	0.00048	1134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.0057	0.00027	537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	44.22032	2.10616	6537354
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	24.83199	1.18272	2605112
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	8.18205	0.3897	955770
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	5.97669	0.28466	755362
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	5.33663	0.25418	553472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	4.01319	0.19114	459961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.27311	0.06064	156915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.20556	0.05742	116825
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.95628	0.04555	78440
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.61316	0.0292	93572
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.39987	0.01905	60072
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238|f__FGB76238	2|1239|||	0.37405	0.01782	50595
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.25748	0.01226	37690
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473	2|1239|||	0.21212	0.0101	16111
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.13249	0.00631	21453
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.12497	0.00595	15036
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.12437	0.00592	11754
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.05988	0.00285	7100
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.0575	0.00274	6487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.04979	0.00237	6995
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	0.02241	0.00107	3902
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.01954	0.00093	2688
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.01675	0.0008	4053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.01001	0.00048	1134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.0057	0.00027	537
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	24.83199	1.18272	2605112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	15.29535	0.7285	2527988
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	7.57041	0.36057	1058815
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	5.33663	0.25418	553472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	2|1239|186801|186802||204475	5.26768	0.25089	634912
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	4.82058	0.2296	623849
