#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan NIK-15172872Week-0_S290_L001_R1_001.fastq.gz,NIK-15172872Week-0_S290_L001_R2_001.fastq.gz --bowtie2out NIK-15172872Week-0_S290_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o NIK-15172872Week-0_S290_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7298006
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.66323	2.39966	7240885
k__Archaea	2157	1.33677	0.03251	57121
k__Bacteria|p__Firmicutes	2|1239	81.47791	1.98169	5816339
k__Bacteria|p__Bacteroidetes	2|976	11.08783	0.26968	1091766
k__Bacteria|p__Actinobacteria	2|201174	4.56179	0.11095	252668
k__Archaea|p__Euryarchaeota	2157|28890	1.30448	0.03173	55322
k__Bacteria|p__Bacteria_unclassified	2|	0.85583	0.02082	39667
k__Bacteria|p__Verrucomicrobia	2|74201	0.33	0.00803	24217
k__Bacteria|p__Tenericutes	2|544448	0.22185	0.0054	8001
k__Bacteria|p__Proteobacteria	2|1224	0.10875	0.00265	6883
k__Archaea|p__Thaumarchaeota	2157|651137	0.0323	0.00079	1799
k__Bacteria|p__Synergistetes	2|508458	0.01926	0.00047	1344
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.21883	1.61056	4867966
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.87232	0.26443	1078042
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.23879	0.12742	347504
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.82673	0.09307	194114
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.46611	0.0843	192630
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.44858	0.03523	101527
