#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan NPR-15097994Week-4_S123_L001_R1_001.fastq.gz,NPR-15097994Week-4_S123_L001_R2_001.fastq.gz --bowtie2out NPR-15097994Week-4_S123_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o NPR-15097994Week-4_S123_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:16106371
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98291	5.76968	16104540
k__Archaea	2157	0.01709	0.00099	1831
k__Bacteria|p__Firmicutes	2|1239	86.06817	4.9667	14215060
k__Bacteria|p__Actinobacteria	2|201174	8.00298	0.46182	1122152
k__Bacteria|p__Bacteroidetes	2|976	5.37995	0.31046	673998
k__Bacteria|p__Proteobacteria	2|1224	0.42409	0.02447	75637
k__Bacteria|p__Verrucomicrobia	2|74201	0.10772	0.00622	17693
k__Archaea|p__Euryarchaeota	2157|28890	0.01496	0.00086	1550
k__Archaea|p__Thaumarchaeota	2157|651137	0.00213	0.00012	281
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	69.67002	4.02042	12228574
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.98376	0.3453	807213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.37995	0.31046	673998
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.22302	0.2437	636915
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.77996	0.21813	485237
k__Bacteria|p__Firmicutes|c__CFGB76782	2|1239|	0.94309	0.05442	163912
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.85117	0.04912	113873
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.68133	0.03932	86208
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.32014	0.01847	57045
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.31203	0.01801	39234
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.26154	0.01509	31441
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.19122	0.01103	36415
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.15082	0.0087	25148
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.14759	0.00852	27559
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.13403	0.00773	24962
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.10772	0.00622	17693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07459	0.0043	9696
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.04141	0.00239	7120
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.03638	0.0021	4445
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.02281	0.00132	3194
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.02075	0.0012	2477
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01716	0.00099	2164
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.01599	0.00092	2838
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.015	0.00087	3165
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.01496	0.00086	1550
k__Bacteria|p__Firmicutes|c__CFGB1303	2|1239|	0.01202	0.00069	1923
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0107	0.00062	1967
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00473	0.00027	642
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.00213	0.00012	281
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00144	8e-05	219
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	69.40349	4.00504	12188723
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.98376	0.3453	807213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.37995	0.31046	673998
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.77329	0.21774	484300
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.93981	0.16965	478612
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.28321	0.07405	158303
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782	2|1239||	0.94309	0.05442	163912
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.85117	0.04912	113873
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.67269	0.03882	84745
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.32014	0.01847	57045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.31203	0.01801	39234
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.26154	0.01509	31441
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.24093	0.0139	35979
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.15082	0.0087	25148
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.14759	0.00852	27559
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.13403	0.00773	24962
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.11847	0.00684	15939
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.10772	0.00622	17693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.07459	0.0043	9696
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.07275	0.0042	20476
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.04141	0.00239	7120
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.03638	0.0021	4445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.0256	0.00148	3872
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.02281	0.00132	3194
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	0.02075	0.0012	2477
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.01716	0.00099	2164
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.01599	0.00092	2838
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.015	0.00087	3165
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.01496	0.00086	1550
k__Bacteria|p__Firmicutes|c__CFGB1303|o__OFGB1303	2|1239||	0.01202	0.00069	1923
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0107	0.00062	1967
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.00864	0.0005	1463
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00473	0.00027	642
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.00213	0.00012	281
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.00144	8e-05	219
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.0002	1e-05	30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	43.2915	2.49821	8637218
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	21.10283	1.21777	2827130
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.9019	0.34058	796300
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	5.05891	0.29193	615116
