#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ORB-15285723Week-4_S113_L002_R1_001.fastq.gz,ORB-15285723Week-4_S113_L002_R2_001.fastq.gz --bowtie2out ORB-15285723Week-4_S113_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ORB-15285723Week-4_S113_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1499211
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.49637	1499211
k__Bacteria|p__Firmicutes	2|1239	89.99649	0.44672	1280937
k__Bacteria|p__Bacteroidetes	2|976	8.48768	0.04213	201225
k__Bacteria|p__Actinobacteria	2|201174	1.221	0.00606	14154
k__Bacteria|p__Proteobacteria	2|1224	0.29483	0.00146	2895
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	86.07208	0.42724	1230669
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.48768	0.04213	201225
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.50256	0.00746	20548
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.46858	0.00729	14865
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.88529	0.00439	10495
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.67623	0.00336	10325
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.33571	0.00167	3659
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.29483	0.00146	2895
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.17624	0.00087	2701
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.10081	0.0005	1829
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	82.22943	0.40816	1181310
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.48768	0.04213	201225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.84265	0.01907	49359
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.50256	0.00746	20548
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.46858	0.00729	14865
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.67623	0.00336	10325
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.61612	0.00306	6800
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.33571	0.00167	3659
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.29483	0.00146	2895
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.26917	0.00134	3695
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.17624	0.00087	2701
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.10081	0.0005	1829
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	52.31646	0.25968	809123
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	15.88066	0.07883	181417
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	12.06471	0.05989	163011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.98013	0.03961	193553
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.84265	0.01907	49359
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.50256	0.00746	20548
