#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RIR-15250180Week-0_S86_L002_R1_001.fastq.gz,RIR-15250180Week-0_S86_L002_R2_001.fastq.gz --bowtie2out RIR-15250180Week-0_S86_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RIR-15250180Week-0_S86_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2423009
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.85698	2423009
k__Bacteria|p__Firmicutes	2|1239	79.60213	0.68218	1869184
k__Bacteria|p__Bacteroidetes	2|976	10.84754	0.09296	371491
k__Bacteria|p__Actinobacteria	2|201174	8.36783	0.07171	157343
k__Bacteria|p__Proteobacteria	2|1224	0.93884	0.00805	19552
k__Bacteria|p__Verrucomicrobia	2|74201	0.15806	0.00135	4102
k__Bacteria|p__Bacteria_unclassified	2|	0.0856	0.00073	1337
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.09889	0.61788	1730694
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.84754	0.09296	371491
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.07354	0.06062	128922
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.71116	0.04894	96099
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.29429	0.01109	28421
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.7281	0.00624	18030
k__Bacteria|p__Proteobacteria|c__CFGB76484	2|1224|	0.51075	0.00438	8793
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.44571	0.00382	8801
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.32491	0.00278	9010
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.28959	0.00248	7059
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.15806	0.00135	4102
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.12821	0.0011	3380
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.10318	0.00088	1749
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.09221	0.00079	2571
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.0856	0.00073	1337
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.05393	0.00046	1292
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.02801	0.00024	763
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.02631	0.00023	495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	70.65934	0.60554	1698762
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.84754	0.09296	371491
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	7.04715	0.06039	128436
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.71116	0.04894	96099
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.43955	0.01234	31932
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.96212	0.00825	20085
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.7281	0.00624	18030
