#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RLB-10009650Week-0_S58_L001_R1_001.fastq.gz,RLB-10009650Week-0_S58_L001_R2_001.fastq.gz --bowtie2out RLB-10009650Week-0_S58_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RLB-10009650Week-0_S58_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5673050
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.91299	1.77818	5669503
k__Archaea	2157	0.08701	0.00155	3547
k__Bacteria|p__Firmicutes	2|1239	82.82797	1.47411	4382358
k__Bacteria|p__Bacteroidetes	2|976	15.27495	0.27185	1207840
k__Bacteria|p__Actinobacteria	2|201174	1.71855	0.03059	75419
k__Bacteria|p__Proteobacteria	2|1224	0.09153	0.00163	3886
k__Archaea|p__Thaumarchaeota	2157|651137	0.08701	0.00155	3547
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	75.30679	1.34026	4017377
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.21288	0.27075	1205075
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.00993	0.08916	225751
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.98685	0.03536	114914
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.19027	0.02118	51743
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.52828	0.0094	23676
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.29812	0.00531	11236
k__Bacteria|p__Firmicutes|c__CFGB75783	2|1239|	0.1039	0.00185	7204
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.08701	0.00155	3547
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.08476	0.00151	3500
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	0.06207	0.0011	2765
k__Bacteria|p__Firmicutes|c__CFGB76101	2|1239|	0.05816	0.00104	3250
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.04045	0.00072	1647
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.01815	0.00032	793
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00677	0.00012	386
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.00561	0.0001	186
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	72.1209	1.28356	3863903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	15.21288	0.27075	1205075
