#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RLP-15264130Week-4_S129_L002_R1_001.fastq.gz,RLP-15264130Week-4_S129_L002_R2_001.fastq.gz --bowtie2out RLP-15264130Week-4_S129_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RLP-15264130Week-4_S129_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7893812
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.49261	2.96687	7812826
k__Archaea	2157	1.50739	0.04541	80986
k__Bacteria|p__Firmicutes	2|1239	81.43336	2.453	6493851
k__Bacteria|p__Actinobacteria	2|201174	11.00958	0.33164	725807
k__Bacteria|p__Bacteroidetes	2|976	5.07375	0.15284	522394
k__Archaea|p__Euryarchaeota	2157|28890	1.38769	0.0418	72727
k__Bacteria|p__Proteobacteria	2|1224	0.97593	0.0294	70774
k__Archaea|p__Thaumarchaeota	2157|651137	0.1197	0.00361	8259
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.30872	1.7263	4906714
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	12.91069	0.38891	850023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.39589	0.28303	620358
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	5.9498	0.17922	379546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.00463	0.15075	516906
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	2.30206	0.06934	152514
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.09618	0.06314	139894
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.38769	0.0418	72727
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.24243	0.03743	82049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.71579	0.02156	50269
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.33327	0.01004	26472
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.26013	0.00784	20505
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.13413	0.00404	13984
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.1201	0.00362	5769
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.1197	0.00361	8259
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.08961	0.0027	6128
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.08199	0.00247	5059
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.06912	0.00208	5488
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.06736	0.00203	4182
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.05148	0.00155	3611
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0354	0.00107	1880
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.03079	0.00093	1635
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.02888	0.00087	2547
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.02389	0.00072	1567
k__Bacteria|p__Firmicutes|c__CFGB337	2|1239|	0.01013	0.00031	569
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.00823	0.00025	998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	56.18738	1.69252	4819462
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	12.91069	0.38891	850023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	8.99061	0.27082	594002
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	5.9498	0.17922	379546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.00463	0.15075	516906
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	2.30206	0.06934	152514
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.38769	0.0418	72727
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.24243	0.03743	82049
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.1536	0.03475	75862
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.07225	0.0323	83608
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.83518	0.02516	54537
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.71579	0.02156	50269
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.40529	0.01221	26356
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.33327	0.01004	26472
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.26013	0.00784	20505
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.13413	0.00404	13984
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.1201	0.00362	5769
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.1197	0.00361	8259
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.1074	0.00324	9495
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.08961	0.0027	6128
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.08199	0.00247	5059
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	0.06912	0.00208	5488
k__Bacteria|p__Actinobacteria|c__CFGB10299|o__OFGB10299	2|201174||	0.06736	0.00203	4182
k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911	2|1239||	0.05148	0.00155	3611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.04909	0.00148	3644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.0354	0.00107	1880
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.03079	0.00093	1635
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.02888	0.00087	2547
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470	2|1239||	0.02389	0.00072	1567
k__Bacteria|p__Firmicutes|c__CFGB337|o__OFGB337	2|1239||	0.01013	0.00031	569
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922	2|1239||	0.00823	0.00025	998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	34.43725	1.03735	3249919
