#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RMM-15072061Week-0_S85_L001_R1_001.fastq.gz,RMM-15072061Week-0_S85_L001_R2_001.fastq.gz --bowtie2out RMM-15072061Week-0_S85_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RMM-15072061Week-0_S85_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9067515
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.80538	3.4112	9055916
k__Archaea	2157	0.19462	0.00665	11599
k__Bacteria|p__Firmicutes	2|1239	64.00121	2.18746	6105317
k__Bacteria|p__Actinobacteria	2|201174	31.42743	1.07414	2287033
k__Bacteria|p__Proteobacteria	2|1224	4.02978	0.13773	630134
k__Bacteria|p__Verrucomicrobia	2|74201	0.25362	0.00867	24172
k__Archaea|p__Euryarchaeota	2157|28890	0.19462	0.00665	11599
k__Bacteria|p__Bacteria_unclassified	2|	0.0584	0.002	3818
k__Bacteria|p__Bacteroidetes	2|976	0.03398	0.00116	5371
k__Bacteria|p__Fusobacteria	2|32066	0.00096	3e-05	71
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.59391	1.62669	4995637
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.29324	0.69359	1457052
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.99909	0.37593	820577
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.62291	0.36307	650045
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.40427	0.15053	327632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.02978	0.13773	630134
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.63622	0.02175	64229
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.50053	0.01711	48600
