#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RMR-15131920Week-4_S156_L001_R1_001.fastq.gz,RMR-15131920Week-4_S156_L001_R2_001.fastq.gz --bowtie2out RMR-15131920Week-4_S156_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RMR-15131920Week-4_S156_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9522618
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.24945	9522618
k__Bacteria|p__Firmicutes	2|1239	85.33194	2.77282	8471609
k__Bacteria|p__Actinobacteria	2|201174	13.00524	0.4226	919466
k__Bacteria|p__Bacteroidetes	2|976	1.20668	0.03921	84782
k__Bacteria|p__Proteobacteria	2|1224	0.27809	0.00904	29241
k__Bacteria|p__Verrucomicrobia	2|74201	0.17804	0.00579	17520
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	80.75097	2.62396	8059398
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.57668	0.34368	724239
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.92392	0.06252	168261
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.35369	0.04399	118109
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.20668	0.03921	84782
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.02144	0.03319	72999
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.74853	0.02432	71388
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.65275	0.02121	65248
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.47619	0.01547	56590
