#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan RRR-15278433Week-4_S119_L002_R1_001.fastq.gz,RRR-15278433Week-4_S119_L002_R2_001.fastq.gz --bowtie2out RRR-15278433Week-4_S119_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RRR-15278433Week-4_S119_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9152443
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98056	3.33459	9151313
k__Archaea	2157	0.01944	0.00065	1130
k__Bacteria|p__Firmicutes	2|1239	69.32145	2.31204	6509254
k__Bacteria|p__Actinobacteria	2|201174	19.64457	0.65519	1401410
k__Bacteria|p__Bacteroidetes	2|976	10.62398	0.35434	1205130
k__Bacteria|p__Proteobacteria	2|1224	0.21936	0.00732	18228
k__Bacteria|p__Verrucomicrobia	2|74201	0.17119	0.00571	17291
k__Archaea|p__Euryarchaeota	2157|28890	0.01944	0.00065	1130
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.96289	1.9332	5659292
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	13.55742	0.45217	943098
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.62398	0.35434	1205130
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.93565	0.23132	483492
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.08714	0.20302	458312
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.54267	0.05145	125177
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.06646	0.03557	87815
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.92299	0.03078	71367
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.53561	0.01786	51618
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.17445	0.00582	12714
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.17119	0.00571	17291
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.10334	0.00345	10268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08433	0.00281	5565
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.06664	0.00222	0
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.05086	0.0017	5622
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.04986	0.00166	4083
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03168	0.00106	2395
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.01944	0.00065	1130
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00897	0.0003	527
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00276	9e-05	197
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.00167	6e-05	175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	54.76715	1.82662	5383440
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	13.47276	0.44935	936332
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.62398	0.35434	1205130
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.56983	0.18577	379262
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.9224	0.16417	358282
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.17826	0.106	274416
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.54267	0.05145	125177
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.36581	0.04555	104230
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.16475	0.03885	100030
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.06646	0.03557	87815
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.92299	0.03078	71367
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.53561	0.01786	51618
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.17445	0.00582	12714
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.17119	0.00571	17291
