#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SDC-15225232Week-4_S200_L002_R1_001.fastq.gz,SDC-15225232Week-4_S200_L002_R2_001.fastq.gz --bowtie2out SDC-15225232Week-4_S200_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SDC-15225232Week-4_S200_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4193493
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.24408	1.49847	4119444
k__Archaea	2157	2.75592	0.04247	74049
k__Bacteria|p__Firmicutes	2|1239	79.3633	1.22294	3437888
k__Bacteria|p__Actinobacteria	2|201174	10.66062	0.16427	354915
k__Bacteria|p__Bacteroidetes	2|976	4.48111	0.06905	227370
k__Archaea|p__Euryarchaeota	2157|28890	2.75592	0.04247	74049
k__Bacteria|p__Verrucomicrobia	2|74201	1.61766	0.02493	69512
k__Bacteria|p__Bacteria_unclassified	2|	1.12139	0.01728	29759
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	75.93698	1.17014	3301165
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.431	0.08369	175023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.22961	0.08058	179892
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.4448	0.06849	225896
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.75592	0.04247	74049
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.61766	0.02493	69512
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.12268	0.0173	38521
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	1.12139	0.01728	29759
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.45753	0.00705	20197
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.43177	0.00665	14632
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.29885	0.00461	14635
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.15768	0.00243	0
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.15756	0.00243	8879
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.13829	0.00213	5486
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.11091	0.00171	6066
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.03631	0.00056	1474
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02379	0.00037	946
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0213	0.00033	665
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.00857	0.00013	295
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00596	9e-05	225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	75.61521	1.16518	3288484
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	5.431	0.08369	175023
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.86129	0.07491	162613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.4448	0.06849	225896
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.75592	0.04247	74049
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.61766	0.02493	69512
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.12268	0.0173	38521
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	1.12139	0.01728	29759
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.45753	0.00705	20197
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.43177	0.00665	14632
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.36832	0.00568	17279
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.29885	0.00461	14635
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.24353	0.00375	9711
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.15768	0.00243	0
