#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SEF-15130878Week-4_S171_L001_R1_001.fastq.gz,SEF-15130878Week-4_S171_L001_R2_001.fastq.gz --bowtie2out SEF-15130878Week-4_S171_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SEF-15130878Week-4_S171_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8127803
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.86454	8127803
k__Bacteria|p__Firmicutes	2|1239	62.63033	1.79407	5346205
k__Bacteria|p__Verrucomicrobia	2|74201	18.38953	0.52678	1468975
k__Bacteria|p__Actinobacteria	2|201174	16.20536	0.46421	1054904
k__Bacteria|p__Bacteroidetes	2|976	1.82885	0.05239	188160
k__Bacteria|p__Bacteria_unclassified	2|	0.66425	0.01903	34689
k__Bacteria|p__Proteobacteria	2|1224	0.26868	0.0077	34019
k__Bacteria|p__Fusobacteria	2|32066	0.013	0.00037	851
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.3617	1.64315	4918993
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	18.38953	0.52678	1468975
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.14967	0.2621	573040
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.05569	0.20211	481864
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	3.08708	0.08843	273059
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.82885	0.05239	188160
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.68538	0.01963	43703
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.66425	0.01903	34689
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.59125	0.01694	43809
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.43427	0.01244	34440
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.31055	0.0089	19439
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.24503	0.00702	32542
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0881	0.00252	7292
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.03757	0.00108	3329
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02365	0.00068	1477
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01929	0.00055	987
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.013	0.00037	851
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.01208	0.00035	967
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00305	9e-05	187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	57.33501	1.64239	4917042
