#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SEP-15255654Week-4_S58_L002_R1_001.fastq.gz,SEP-15255654Week-4_S58_L002_R2_001.fastq.gz --bowtie2out SEP-15255654Week-4_S58_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SEP-15255654Week-4_S58_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:14418156
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.38575	14418156
k__Bacteria|p__Firmicutes	2|1239	85.43895	3.74714	11799785
k__Bacteria|p__Bacteroidetes	2|976	10.7009	0.46931	1993289
k__Bacteria|p__Proteobacteria	2|1224	1.99168	0.08735	375969
k__Bacteria|p__Actinobacteria	2|201174	1.86847	0.08195	249113
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	76.07222	3.33634	10666602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.7009	0.46931	1993289
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.36051	0.27896	816387
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.94973	0.08551	369721
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	1.86663	0.08187	183035
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.84146	0.08076	245869
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.50325	0.02207	48175
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.2895	0.0127	46435
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.21703	0.00952	27503
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1298	0.00569	11648
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02837	0.00124	4902
