#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SHV-10009345Week-0_S261_L001_R1_001.fastq.gz,SHV-10009345Week-0_S261_L001_R2_001.fastq.gz --bowtie2out SHV-10009345Week-0_S261_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SHV-10009345Week-0_S261_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6267144
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.15477	6267144
k__Bacteria|p__Firmicutes	2|1239	97.71877	2.10562	6111903
k__Bacteria|p__Actinobacteria	2|201174	1.25264	0.02699	75399
k__Bacteria|p__Bacteroidetes	2|976	0.67677	0.01458	60809
k__Bacteria|p__Proteobacteria	2|1224	0.35181	0.00758	19033
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	93.03349	2.00466	5827867
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.24425	0.02681	74936
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.10409	0.02379	57428
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.92495	0.01993	61856
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.86201	0.01857	34806
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.85249	0.01837	67180
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.67677	0.01458	60809
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.52755	0.01137	35918
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.4135	0.00891	26806
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.31033	0.00669	15902
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02977	0.00064	2527
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01171	0.00025	604
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.0084	0.00018	463
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00069	1e-05	42
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	87.23642	1.87974	5515382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.32188	0.07158	185231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	2.47519	0.05333	127254
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.99881	0.02152	52846
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.92495	0.01993	61856
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.86201	0.01857	34806
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.85249	0.01837	67180
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.82518	0.01778	53250
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.67677	0.01458	60809
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.52755	0.01137	35918
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.41907	0.00903	21686
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102	2|1239||	0.4135	0.00891	26806
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.31033	0.00669	15902
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.10528	0.00227	4582
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02977	0.00064	2527
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.01171	0.00025	604
