#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SO-15043983Week-4_S62_L001_R1_001.fastq.gz,SO-15043983Week-4_S62_L001_R2_001.fastq.gz --bowtie2out SO-15043983Week-4_S62_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SO-15043983Week-4_S62_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5666113
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.88858	5666113
k__Bacteria|p__Firmicutes	2|1239	95.26372	1.79913	5388202
k__Bacteria|p__Actinobacteria	2|201174	3.45539	0.06526	196772
k__Bacteria|p__Verrucomicrobia	2|74201	1.09195	0.02062	62611
k__Bacteria|p__Bacteroidetes	2|976	0.18894	0.00357	18528
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	85.60812	1.61678	4879638
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.69967	0.08876	224572
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.79199	0.07161	217539
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.46979	0.04664	140857
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.0957	0.02069	63896
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.09195	0.02062	62611
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.98561	0.01861	55915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.18894	0.00357	18528
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.06824	0.00129	2557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	81.46059	1.53845	4676938
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.69967	0.08876	224572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.14753	0.07833	202700
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.79199	0.07161	217539
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.6183	0.03056	101578
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.0957	0.02069	63896
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.09195	0.02062	62611
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.85149	0.01608	39279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.18894	0.00357	18528
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.06824	0.00129	2557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	78.20689	1.477	4518805
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	4.14753	0.07833	202700
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	3.12071	0.05894	176482
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	2.51038	0.04741	83400
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	2.18929	0.04135	141172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.72863	0.03265	77481
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.6183	0.03056	101578
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	1.0957	0.02069	63896
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	1.09195	0.02062	62611
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.85149	0.01608	39279
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.67128	0.01268	41057
