#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SOS-15306747Week-4_S303_L002_R1_001.fastq.gz,SOS-15306747Week-4_S303_L002_R2_001.fastq.gz --bowtie2out SOS-15306747Week-4_S303_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SOS-15306747Week-4_S303_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10908374
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.31966	10908374
k__Bacteria|p__Firmicutes	2|1239	74.13445	3.20236	8482749
k__Bacteria|p__Actinobacteria	2|201174	25.32869	1.09411	2358794
k__Bacteria|p__Bacteroidetes	2|976	0.37918	0.01638	52910
k__Bacteria|p__Proteobacteria	2|1224	0.12916	0.00558	11040
k__Bacteria|p__Fusobacteria	2|32066	0.02852	0.00123	2881
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.49261	2.00832	5989358
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	18.90828	0.81677	1784532
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.30351	0.48827	1078534
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.54495	0.41231	728436
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.59178	0.28474	665600
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.42041	0.27734	574262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.37918	0.01638	52910
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.12916	0.00558	11040
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.12858	0.00555	11570
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.07302	0.00315	9251
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.02852	0.00123	2881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	43.7491	1.88981	5682676
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	18.73914	0.80947	1765081
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	10.6077	0.45822	1018260
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.54495	0.41231	728436
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.59178	0.28474	665600
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.04412	0.26109	538799
