#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SSL-15213811Week-24_S155_L002_R1_001.fastq.gz,SSL-15213811Week-24_S155_L002_R2_001.fastq.gz --bowtie2out SSL-15213811Week-24_S155_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SSL-15213811Week-24_S155_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:19532507
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98369	6.60463	19530039
k__Archaea	2157	0.01631	0.00108	2468
k__Bacteria|p__Firmicutes	2|1239	76.32356	5.04171	14469605
k__Bacteria|p__Actinobacteria	2|201174	12.74407	0.84184	1998406
k__Bacteria|p__Bacteroidetes	2|976	9.36775	0.61881	2564246
k__Bacteria|p__Proteobacteria	2|1224	1.54832	0.10228	497782
k__Archaea|p__Thaumarchaeota	2157|651137	0.01631	0.00108	2468
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.70022	4.80237	13827021
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	9.36775	0.61881	2564246
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.25098	0.61109	1354517
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.49308	0.23074	643889
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.10097	0.13878	347615
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.51969	0.10039	491663
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.74267	0.04906	139596
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.20701	0.01367	50009
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.18226	0.01204	34459
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.16789	0.01109	32115
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.13921	0.0092	22417
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.04046	0.00267	8626
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.02878	0.0019	4837
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.02863	0.00189	6119
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.01631	0.00108	2468
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00403	0.00027	744
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.00179	0.00012	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	70.68536	4.66927	13481964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	9.36775	0.61881	2564246
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.25098	0.61109	1354517
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.41248	0.15936	491956
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.10097	0.13878	347615
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.00858	0.13268	343832
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.23369	0.08149	449964
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.0806	0.07138	151933
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.64097	0.04234	124271
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.28358	0.01873	41317
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.20701	0.01367	50009
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.18226	0.01204	34459
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.16789	0.01109	32115
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.13921	0.0092	22417
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.09173	0.00606	13991
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.04046	0.00267	8626
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.02878	0.0019	4837
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.02863	0.00189	6119
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.01631	0.00108	2468
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00996	0.00066	1334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00628	0.00042	1225
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.00403	0.00027	744
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.00242	0.00016	382
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.00179	0.00012	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	49.50235	3.26998	9854520
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	15.52379	1.02546	2574800
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	9.25098	0.61109	1354517
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.29119	0.48164	2210868
