#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan SVP-15113868Week-24_S145_L001_R1_001.fastq.gz,SVP-15113868Week-24_S145_L001_R2_001.fastq.gz --bowtie2out SVP-15113868Week-24_S145_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SVP-15113868Week-24_S145_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:14692507
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	5.47886	14692507
k__Bacteria|p__Firmicutes	2|1239	69.13739	3.78794	10186496
k__Bacteria|p__Actinobacteria	2|201174	15.9767	0.87534	1961933
k__Bacteria|p__Verrucomicrobia	2|74201	7.77651	0.42606	1188128
k__Bacteria|p__Bacteroidetes	2|976	4.31067	0.23618	819412
k__Bacteria|p__Proteobacteria	2|1224	1.31503	0.07205	321856
k__Bacteria|p__Synergistetes	2|508458	1.09535	0.06001	172263
k__Bacteria|p__Bacteria_unclassified	2|	0.26393	0.01446	25488
k__Bacteria|p__Fusobacteria	2|32066	0.09929	0.00544	13760
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02512	0.00138	3171
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.85966	2.56738	7376129
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.68084	0.63998	1326949
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.74903	0.53414	1167786
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	7.77651	0.42606	1188128
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.16535	0.33779	787192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.29226	0.23517	816072
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.0395	0.16653	338637
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.5483	0.13962	431035
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.1935	0.06539	301356
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	1.09535	0.06001	172263
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.70094	0.0384	123948
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.65917	0.03611	95617
k__Bacteria|p__Firmicutes|c__CFGB4529	2|1239|	0.53467	0.02929	117050
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.36999	0.02027	57995
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.32917	0.01803	40942
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.30348	0.01663	19001
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.29692	0.01627	46506
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.22578	0.01237	21304
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	0.20118	0.01102	16087
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.17515	0.0096	19857
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12153	0.00666	20500
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.11239	0.00616	17211
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.09933	0.00544	14050
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.09929	0.00544	13760
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.09569	0.00524	14120
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.09358	0.00513	11372
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.08226	0.00451	6949
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.06233	0.00341	6955
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.05655	0.0031	3903
k__Bacteria|p__Firmicutes|c__CFGB76360	2|1239|	0.05632	0.00309	4780
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05585	0.00306	8842
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.0537	0.00294	9050
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.05233	0.00287	6453
k__Bacteria|p__Firmicutes|c__CFGB9583	2|1239|	0.04884	0.00268	8216
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.03814	0.00209	0
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.02512	0.00138	0
k__Bacteria|p__Bacteroidetes|c__CFGB76030	2|976|	0.01841	0.00101	3340
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.01034	0.00057	903
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.00877	0.00048	950
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.00738	0.0004	1239
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.00687	0.00038	719
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00615	0.00034	856
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00082	5e-05	95
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.00072	4e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	45.68549	2.50305	7210629
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	10.47035	0.57366	1211960
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.44052	0.51723	1126909
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	7.77651	0.42606	1188128
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.60952	0.30734	687619
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.29226	0.23517	816072
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	2.5483	0.13962	431035
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.52628	0.13841	274641
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.21049	0.06632	114989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.10287	0.06042	156383
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	1.09535	0.06001	172263
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.0631	0.05825	284678
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.70094	0.0384	123948
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.65917	0.03611	95617
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.55582	0.03045	99573
k__Bacteria|p__Firmicutes|c__CFGB4529|o__OFGB4529	2|1239||	0.53467	0.02929	117050
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.51203	0.02805	63806
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.36999	0.02027	57995
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.32917	0.01803	40942
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	2|1239||	0.30348	0.01663	19001
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.29692	0.01627	46506
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.22578	0.01237	21304
k__Bacteria|p__Firmicutes|c__CFGB13380|o__OFGB13380	2|1239||	0.20118	0.01102	16087
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	0.17515	0.0096	19857
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.12981	0.00711	16580
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.12153	0.00666	20500
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942	2|1239||	0.11239	0.00616	17211
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.09933	0.00544	14050
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.09929	0.00544	13760
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.09569	0.00524	14120
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.09358	0.00513	11372
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	0.08226	0.00451	6949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.07129	0.00391	9117
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.06233	0.00341	6955
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.06038	0.00331	8153
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325	2|1239||	0.05655	0.0031	3903
k__Bacteria|p__Firmicutes|c__CFGB76360|o__OFGB76360	2|1239||	0.05632	0.00309	4780
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.05585	0.00306	8842
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.0537	0.00294	9050
