#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan TGM-15074943Week-4_S107_L001_R1_001.fastq.gz,TGM-15074943Week-4_S107_L001_R2_001.fastq.gz --bowtie2out TGM-15074943Week-4_S107_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o TGM-15074943Week-4_S107_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8436378
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.75747	3.08241	8423427
k__Archaea	2157	0.24253	0.00749	12951
k__Bacteria|p__Firmicutes	2|1239	84.1913	2.60143	7371759
k__Bacteria|p__Actinobacteria	2|201174	12.68226	0.39187	878202
k__Bacteria|p__Bacteroidetes	2|976	1.8223	0.05631	113587
k__Bacteria|p__Bacteria_unclassified	2|	1.05084	0.03247	58832
k__Archaea|p__Euryarchaeota	2157|28890	0.24253	0.00749	12951
k__Bacteria|p__Proteobacteria	2|1224	0.01078	0.00033	1047
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.45677	2.26974	6557694
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.75588	0.30145	630753
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.77497	0.14754	382477
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.12397	0.12743	264033
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.92637	0.09042	247449
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.8223	0.05631	113587
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987	2||	0.75674	0.02338	43182
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.56833	0.01756	55863
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.44841	0.01386	40665
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.40504	0.01252	40393
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.2941	0.00909	15650
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.24253	0.00749	12951
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.15787	0.00488	14422
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.11833	0.00366	8041
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.10667	0.0033	5256
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.01851	0.00057	2092
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01078	0.00033	1047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	70.73621	2.18568	6339569
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.72256	0.30042	628177
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.77497	0.14754	382477
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.77074	0.11651	239047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.70491	0.08358	216286
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.95042	0.06027	153072
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.8223	0.05631	113587
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.97595	0.03016	94377
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987|o__OFGB2987	2|||	0.75674	0.02338	43182
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.56833	0.01756	55863
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.44841	0.01386	40665
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.40504	0.01252	40393
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.35323	0.01091	24986
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.2941	0.00909	15650
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.24253	0.00749	12951
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.15787	0.00488	14422
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.11833	0.00366	8041
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.10667	0.0033	5256
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.03333	0.00103	2576
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.01851	0.00057	2092
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.01566	0.00048	1839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.01078	0.00033	1047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	36.67738	1.1333	3598546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	19.96464	0.61689	1324929
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	9.72256	0.30042	628177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	4.76215	0.14715	469015
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.17082	0.09798	242604
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	3.14425	0.09715	189772
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.70491	0.08358	216286
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.95042	0.06027	153072
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.80712	0.05584	111401
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	1.47875	0.04569	130921
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.97595	0.03016	94377
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.76225	0.02355	60116
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987|o__OFGB2987|f__FGB2987	2||||	0.75674	0.02338	43182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.68559	0.02118	46013
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503	2|1239|||	0.56833	0.01756	55863
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.44841	0.01386	40665
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.40504	0.01252	40393
