#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan TJG-10020586Week-0_S178_L002_R1_001.fastq.gz,TJG-10020586Week-0_S178_L002_R2_001.fastq.gz --bowtie2out TJG-10020586Week-0_S178_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o TJG-10020586Week-0_S178_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10769629
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.82173	10769629
k__Bacteria|p__Firmicutes	2|1239	78.43185	2.99746	8924523
k__Bacteria|p__Actinobacteria	2|201174	18.66869	0.71347	1597241
k__Bacteria|p__Bacteroidetes	2|976	2.89947	0.11081	247865
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	74.56817	2.8498	8524959
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.6032	0.44344	974407
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.06549	0.27002	622834
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.29296	0.12585	346539
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.89947	0.11081	247865
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.34809	0.0133	29099
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.11288	0.00431	11807
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.10974	0.00419	12119
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	70.41033	2.69089	8114043
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	11.23458	0.42936	939139
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.78963	0.22126	484457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.05778	0.15508	401321
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.29296	0.12585	346539
