#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan TVA-15069788Week-4_S288_L001_R1_001.fastq.gz,TVA-15069788Week-4_S288_L001_R2_001.fastq.gz --bowtie2out TVA-15069788Week-4_S288_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o TVA-15069788Week-4_S288_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:15375715
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	5.28158	15375715
k__Bacteria|p__Firmicutes	2|1239	68.58914	3.62259	10473883
k__Bacteria|p__Bacteroidetes	2|976	12.58932	0.66491	2271000
k__Bacteria|p__Actinobacteria	2|201174	10.7479	0.56766	1419627
k__Bacteria|p__Verrucomicrobia	2|74201	6.58872	0.34799	1027553
k__Bacteria|p__Proteobacteria	2|1224	1.05914	0.05594	144923
k__Bacteria|p__Bacteria_unclassified	2|	0.42579	0.02249	38729
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.45883	2.71784	8087233
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12.41075	0.65548	2249308
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.98773	0.52751	1327291
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	6.58872	0.34799	1027553
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.8358	0.20259	575891
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	2.97946	0.15736	0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.49595	0.13183	328663
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	1.80142	0.09514	215993
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	1.14912	0.06069	107015
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.81391	0.04299	100385
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.76017	0.04015	92336
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.68473	0.03616	103601
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.6008	0.03173	62749
k__Bacteria|p__Firmicutes|c__CFGB75985	2|1239|	0.50325	0.02658	72731
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.50239	0.02653	74638
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.42579	0.02249	38729
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.40411	0.02134	45010
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.26145	0.01381	42721
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.22043	0.01164	35488
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.15809	0.00835	23558
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.14073	0.00743	21549
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.13837	0.00731	13644
