#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan TYT-15230236Week-0_S171_L002_R1_001.fastq.gz,TYT-15230236Week-0_S171_L002_R2_001.fastq.gz --bowtie2out TYT-15230236Week-0_S171_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o TYT-15230236Week-0_S171_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4215348
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	94.67567	1.4136	4076728
k__Archaea	2157	5.32433	0.0795	138620
k__Bacteria|p__Firmicutes	2|1239	64.5105	0.96321	2703598
k__Bacteria|p__Actinobacteria	2|201174	18.18821	0.27157	659698
k__Bacteria|p__Bacteroidetes	2|976	9.03168	0.13485	602589
k__Archaea|p__Euryarchaeota	2157|28890	5.32433	0.0795	138620
k__Bacteria|p__Proteobacteria	2|1224	1.66554	0.02487	65060
k__Bacteria|p__Bacteria_unclassified	2|	0.63888	0.00954	17015
k__Bacteria|p__Verrucomicrobia	2|74201	0.57784	0.00863	26032
k__Bacteria|p__Synergistetes	2|508458	0.06302	0.00094	2736
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.67909	0.7119	2046273
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	12.4312	0.18561	462093
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.91748	0.13315	598502
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.75701	0.08596	197605
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	5.32433	0.0795	138620
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.61315	0.05395	119626
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.43976	0.05136	158950
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	3.27575	0.04891	96719
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.91545	0.01367	30798
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.9122	0.01362	0
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.86966	0.01298	34974
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	0.71074	0.01061	23912
k__Bacteria|p__Firmicutes|c__CFGB9828	2|1239|	0.67418	0.01007	26733
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.62372	0.00931	28756
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.57784	0.00863	26032
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.55951	0.00835	14387
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.50598	0.00755	15744
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.49468	0.00739	21805
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.43572	0.00651	18523
k__Bacteria|p__Firmicutes|c__CFGB76784	2|1239|	0.29721	0.00444	12186
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.27797	0.00415	12651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.25915	0.00387	13098
k__Bacteria|p__Firmicutes|c__CFGB5194	2|1239|	0.22349	0.00334	6737
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.20909	0.00312	5945
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.1728	0.00258	5720
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12768	0.00191	4971
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.11673	0.00174	3896
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.1142	0.00171	0
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.07937	0.00119	0
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.06302	0.00094	2736
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.05521	0.00082	2641
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.02651	0.0004	937
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.01774	0.00026	819
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01263	0.00019	444
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00566	8e-05	291
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.00511	8e-05	171
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.00292	4e-05	89
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	46.82409	0.69913	2014771
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	11.17925	0.16692	410244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.91748	0.13315	598502
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	5.64658	0.08431	193501
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	5.32433	0.0795	138620
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.61315	0.05395	119626
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.43976	0.05136	158950
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	3.27575	0.04891	96719
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.25195	0.01869	51849
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.91545	0.01367	30798
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.9122	0.01362	0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.86966	0.01298	34974
k__Bacteria|p__Firmicutes|c__CFGB2979|o__OFGB2979	2|1239||	0.71074	0.01061	23912
k__Bacteria|p__Firmicutes|c__CFGB9828|o__OFGB9828	2|1239||	0.67418	0.01007	26733
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.62372	0.00931	28756
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.57784	0.00863	26032
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.55951	0.00835	14387
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	2|1239||	0.50598	0.00755	15744
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.50388	0.00752	19469
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.49468	0.00739	21805
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.43572	0.00651	18523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.35112	0.00524	12033
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784	2|1239||	0.29721	0.00444	12186
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.27797	0.00415	12651
k__Bacteria|p__Firmicutes|c__CFGB5194|o__OFGB5194	2|1239||	0.22349	0.00334	6737
k__Bacteria|p__Firmicutes|c__CFGB2831|o__OFGB2831	2|1239||	0.20909	0.00312	5945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.18755	0.0028	7884
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209	2|1239||	0.1728	0.00258	5720
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.12768	0.00191	4971
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.11673	0.00174	3896
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	2|1239||	0.1142	0.00171	0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.07937	0.00119	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.0716	0.00107	5214
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.06302	0.00094	2736
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.05521	0.00082	2641
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983	2|1239||	0.02651	0.0004	937
k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863	2|1239||	0.01774	0.00026	819
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.01263	0.00019	444
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.00566	8e-05	291
k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172	2|1239||	0.00511	8e-05	171
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880	2|1239||	0.00292	4e-05	89
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	39.13033	0.58425	1693119
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	11.17925	0.16692	410244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.36839	0.09509	496817
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	5.64658	0.08431	193501
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	5.32433	0.0795	138620
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	3.47461	0.05188	113739
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.43976	0.05136	158950
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	2|1239|||	3.27575	0.04891	96719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	3.24467	0.04845	130624
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.33705	0.03489	87507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.81107	0.02704	72016
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.25195	0.01869	51849
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.91545	0.01367	30798
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069	2|1224|||	0.9122	0.01362	0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	2|1239|||	0.86966	0.01298	34974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.75337	0.01125	25789
k__Bacteria|p__Firmicutes|c__CFGB2979|o__OFGB2979|f__FGB2979	2|1239|||	0.71074	0.01061	23912
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.68152	0.01018	27617
k__Bacteria|p__Firmicutes|c__CFGB9828|o__OFGB9828|f__FGB9828	2|1239|||	0.67418	0.01007	26733
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	0.62372	0.00931	28756
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.57784	0.00863	26032
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.55951	0.00835	14387
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352	2|1239|||	0.50598	0.00755	15744
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.50388	0.00752	19469
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.49468	0.00739	21805
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.43572	0.00651	18523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.35112	0.00524	12033
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784|f__FGB76784	2|1239|||	0.29721	0.00444	12186
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.27797	0.00415	12651
k__Bacteria|p__Firmicutes|c__CFGB5194|o__OFGB5194|f__FGB5194	2|1239|||	0.22349	0.00334	6737
k__Bacteria|p__Firmicutes|c__CFGB2831|o__OFGB2831|f__FGB2831	2|1239|||	0.20909	0.00312	5945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	2|1224|1236|135624|84642	0.18755	0.0028	7884
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.1843	0.00275	12060
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209|f__FGB15209	2|1239|||	0.1728	0.00258	5720
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.12768	0.00191	4971
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249	2|1239|||	0.11673	0.00174	3896
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670|f__FGB1670	2|1239|||	0.1142	0.00171	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.11043	0.00165	4104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	2|1239|186801|186802|990719	0.08186	0.00122	4135
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992	2|201174|||	0.07937	0.00119	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.07805	0.00117	3385
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.0716	0.00107	5214
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.06302	0.00094	2736
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.0605	0.0009	2502
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0.05521	0.00082	2641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.02774	0.00041	2118
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983|f__FGB2983	2|1239|||	0.02651	0.0004	937
k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863|f__FGB2863	2|1239|||	0.01774	0.00026	819
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	2|1239|||	0.01263	0.00019	444
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	2|1239|||	0.00566	8e-05	291
k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172|f__FGB3172	2|1239|||	0.00511	8e-05	171
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880|f__FGB2880	2|1239|||	0.00292	4e-05	89
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	20.21155	0.30178	926129
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	9.70028	0.14483	342962
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	2|1239|186801|186802|186803|207244	7.36333	0.10994	300470
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	5.64658	0.08431	193501
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	5.32433	0.0795	138620
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	4.53327	0.06769	352493
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	2|1239|186801|186802|186803|2316020	4.19747	0.06267	166745
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477|g__GGB9345	2|1239||||	3.27575	0.04891	96719
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	2.91875	0.04358	137756
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora	2|1239|186801|186802|186803|2719231	2.77632	0.04145	120241
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2|976|200643|171549|171550|239759	2.33705	0.03489	87507
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	2|976|200643|171549|815|909656	1.83512	0.0274	144324
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9677	2|1239|91061|186826|33958|	1.55311	0.02319	53732
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB9383	2|201174|84998|84999|84107|	1.43313	0.0214	64357
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster	2|1239|186801|186802|186803|2719313	1.41688	0.02116	48096
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	1.29162	0.01929	51048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	2|1239|186801|186802|31979|	1.26477	0.01888	46453
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	2|201174|84998|1643822|1643826|447020	1.04087	0.01554	41394
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB9333	2|1224|28216|80840|995019|	0.91545	0.01367	30798
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712	2|1239||||	0.86966	0.01298	34974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus	2|1239|186801|186802|186803|33042	0.85068	0.0127	34128
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified	2|1239|186801|186802|216572|	0.83173	0.01242	31708
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567	2|1239|91061|186826|33958|	0.80465	0.01201	22520
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified	2|1239|186801|186802|186806|	0.76597	0.01144	41192
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9768	2|1239||||	0.73919	0.01104	52545
k__Bacteria|p__Firmicutes|c__CFGB2979|o__OFGB2979|f__FGB2979|g__GGB40351	2|1239||||	0.71074	0.01061	23912
k__Bacteria|p__Firmicutes|c__CFGB9828|o__OFGB9828|f__FGB9828|g__GGB35597	2|1239||||	0.67418	0.01007	26733
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566	2|1239|91061|186826|33958|	0.65556	0.00979	20799
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Monoglobus	2|1239|186801|186802|216572|2039302	0.6451	0.00963	25231
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012|g__GGB9480	2|1239||||	0.62372	0.00931	28756
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	2|74201|203494|48461|1647988|239934	0.57784	0.00863	26032
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763|g__GGB79973	2|||||	0.55951	0.00835	14387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera	2|1239|186801|186802|186803|2815781	0.52297	0.00781	23572
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4562	2|1239||||	0.50598	0.00755	15744
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter	2|1239|186801|186802|541000|2527773	0.50388	0.00752	19469
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760	2|1239||||	0.49468	0.00739	21805
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	2|1239|186801|186802|543314|	0.45241	0.00675	13993
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	2|1224|28221|213115|194924|872	0.43572	0.00651	18523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	2|1239|186801|186802|216572|	0.38766	0.00579	17638
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota	2|1239|526524|526525|128827|1924110	0.37424	0.00559	14947
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Woodwardibium	2|1239|186801|||2721125	0.35112	0.00524	12033
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia	2|1239|186801|186802||2211178	0.32173	0.0048	10428
