#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan VRA-15073629Week-4_S153_L001_R1_001.fastq.gz,VRA-15073629Week-4_S153_L001_R2_001.fastq.gz --bowtie2out VRA-15073629Week-4_S153_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o VRA-15073629Week-4_S153_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:26171464
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	9.01599	26171464
k__Bacteria|p__Firmicutes	2|1239	83.74305	7.55026	22810169
k__Bacteria|p__Actinobacteria	2|201174	15.53221	1.40038	3141268
k__Bacteria|p__Bacteroidetes	2|976	0.46182	0.04164	152200
k__Bacteria|p__Verrucomicrobia	2|74201	0.25108	0.02264	65989
k__Bacteria|p__Bacteria_unclassified	2|	0.01184	0.00107	1838
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	74.66843	6.73209	20798963
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.05989	0.907	2016590
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.37395	0.48451	1105977
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.35116	0.48246	1257042
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.88753	0.26034	530872
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.25108	0.02264	65989
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.2473	0.0223	58139
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.20755	0.01871	58084
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.16448	0.01483	74711
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.13367	0.01205	44076
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.10037	0.00905	27941
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.08978	0.00809	0
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.0676	0.0061	18337
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.0363	0.00327	7430
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.0222	0.002	6158
k__Bacteria|p__Firmicutes|c__CFGB76782	2|1239|	0.01883	0.0017	5114
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.01184	0.00107	1838
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00766	0.00069	2246
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.00047	4e-05	132
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.00014	1e-05	30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	73.26136	6.60523	20470690
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.97135	0.89902	1996947
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.35116	0.48246	1257042
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.93392	0.35468	770335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.88438	0.26005	530297
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.44003	0.12983	335642
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.40545	0.12672	327915
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.25108	0.02264	65989
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.2473	0.0223	58139
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.20755	0.01871	58084
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.16448	0.01483	74711
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.13367	0.01205	44076
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.10037	0.00905	27941
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	2|1239||	0.08978	0.00809	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.0692	0.00624	16106
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102	2|1239||	0.0676	0.0061	18337
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.0363	0.00327	7430
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.0222	0.002	6158
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782	2|1239||	0.01883	0.0017	5114
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.01184	0.00107	1838
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.00766	0.00069	2246
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00315	0.00028	575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00161	0.00015	358
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.00047	4e-05	132
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	2|1239||	0.00014	1e-05	30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	59.97225	5.40709	17668312
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	9.97189	0.89906	1962260
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	9.97135	0.89902	1996947
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.35116	0.48246	1257042
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.93392	0.35468	770335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	2.57178	0.23187	475789
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.44003	0.12983	335642
