#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan VRP-15139662Week-0_S196_L001_R1_001.fastq.gz,VRP-15139662Week-0_S196_L001_R2_001.fastq.gz --bowtie2out VRP-15139662Week-0_S196_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o VRP-15139662Week-0_S196_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:17922975
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	5.78365	17922975
k__Bacteria|p__Firmicutes	2|1239	92.69341	5.36106	16599914
k__Bacteria|p__Actinobacteria	2|201174	4.84396	0.28016	684110
k__Bacteria|p__Bacteroidetes	2|976	2.1163	0.1224	542880
k__Bacteria|p__Proteobacteria	2|1224	0.34633	0.02003	96071
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	88.33789	5.10916	15787639
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.62238	0.20951	708523
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.65834	0.15375	351133
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.1163	0.1224	542880
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.61088	0.09317	265271
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.57474	0.03324	67706
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.33554	0.01941	94656
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.23483	0.01358	39005
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.16904	0.00978	22241
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.09651	0.00558	12672
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.08629	0.00499	10976
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.07981	0.00462	9775
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.04496	0.0026	6635
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01079	0.00062	1100
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01078	0.00062	1415
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.00982	0.00057	1060
k__Bacteria|p__Firmicutes|c__CFGB1365	2|1239|	0.00083	5e-05	243
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.00025	1e-05	45
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	88.05651	5.09288	15747413
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.62238	0.20951	708523
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.31604	0.13395	301633
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.1163	0.1224	542880
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.0264	0.05936	182291
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.58448	0.0338	82980
