#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan WAC-15246744Week-4_S168_L002_R1_001.fastq.gz,WAC-15246744Week-4_S168_L002_R2_001.fastq.gz --bowtie2out WAC-15246744Week-4_S168_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o WAC-15246744Week-4_S168_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7714056
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.84794	7714056
k__Bacteria|p__Firmicutes	2|1239	74.53441	2.12269	5748762
k__Bacteria|p__Bacteroidetes	2|976	12.65165	0.36031	1172495
k__Bacteria|p__Actinobacteria	2|201174	12.1459	0.34591	743320
k__Bacteria|p__Proteobacteria	2|1224	0.66804	0.01903	49479
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	53.09468	1.5121	4386399
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	15.33856	0.43683	953276
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.31024	0.32211	1067120
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.67447	0.19008	413718
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.26316	0.14989	317521
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.3262	0.06625	149467
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.97832	0.02786	59003
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.76027	0.02165	57076
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.72482	0.02064	37009
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.72123	0.02054	59351
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.50857	0.01448	42390
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.45001	0.01282	28005
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.34809	0.00991	30771
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.33715	0.0096	24930
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.23304	0.00664	17528
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.20957	0.00597	21828
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.20827	0.00593	12081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.19657	0.0056	12991
