#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan YDA-15157563Week-0_S15_L002_R1_001.fastq.gz,YDA-15157563Week-0_S15_L002_R2_001.fastq.gz --bowtie2out YDA-15157563Week-0_S15_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o YDA-15157563Week-0_S15_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10084569
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.52948	10084569
k__Bacteria|p__Firmicutes	2|1239	82.89362	2.92572	8570181
k__Bacteria|p__Actinobacteria	2|201174	12.87208	0.45432	1044694
k__Bacteria|p__Bacteroidetes	2|976	2.26646	0.07999	279768
k__Bacteria|p__Verrucomicrobia	2|74201	1.48939	0.05257	155223
k__Bacteria|p__Bacteria_unclassified	2|	0.29733	0.01049	18073
k__Bacteria|p__Proteobacteria	2|1224	0.13403	0.00473	11858
k__Bacteria|p__Synergistetes	2|508458	0.0471	0.00166	4772
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	69.52306	2.45381	7435864
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.17205	0.28843	684421
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.70002	0.16589	360273
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	3.76638	0.13293	262876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.22118	0.0784	274819
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.94568	0.06867	192842
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.88609	0.06657	132383
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	1.62081	0.05721	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.48939	0.05257	155223
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	1.19504	0.04218	95754
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.80943	0.02857	60500
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.48618	0.01716	47716
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.42283	0.01492	43801
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.3482	0.01229	25602
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.29733	0.01049	18073
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.13815	0.00488	13526
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.1346	0.00475	11666
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09802	0.00346	7722
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.09441	0.00333	10157
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.06997	0.00247	4611
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0471	0.00166	4772
k__Bacteria|p__Bacteroidetes|c__CFGB50354	2|976|	0.04528	0.0016	4949
k__Bacteria|p__Firmicutes|c__CFGB75985	2|1239|	0.03748	0.00132	3619
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.036	0.00127	4136
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.0289	0.00102	3730
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01865	0.00066	1902
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01461	0.00052	909
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.0035	0.00012	314
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00177	6e-05	106
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00146	5e-05	106
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	66.57248	2.34967	7161109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.58798	0.23252	503487
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.95031	0.13943	293819
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	3.76638	0.13293	262876
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.69409	0.09509	246067
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.22118	0.0784	274819
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.94568	0.06867	192842
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.88609	0.06657	132383
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	1.62081	0.05721	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.58408	0.05591	180934
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.48939	0.05257	155223
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	1.19504	0.04218	95754
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.80943	0.02857	60500
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	0.48618	0.01716	47716
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.42283	0.01492	43801
