#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan YZM-15080161Week-0_S100_L001_R1_001.fastq.gz,YZM-15080161Week-0_S100_L001_R2_001.fastq.gz --bowtie2out YZM-15080161Week-0_S100_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o YZM-15080161Week-0_S100_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4830625
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.82771	4830625
k__Bacteria|p__Firmicutes	2|1239	83.66663	1.52918	3796301
k__Bacteria|p__Proteobacteria	2|1224	8.83382	0.16146	742229
k__Bacteria|p__Actinobacteria	2|201174	4.75019	0.08682	186852
k__Bacteria|p__Bacteroidetes	2|976	2.28649	0.04179	90673
k__Bacteria|p__Bacteria_unclassified	2|	0.46288	0.00846	14570
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	50.43016	0.92172	2534677
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	18.03998	0.32972	668690
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.79544	0.16076	740198
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.8169	0.14287	310515
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.53105	0.11937	245992
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.37309	0.07993	170494
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.28649	0.04179	90673
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.46288	0.00846	14570
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.3771	0.00689	16358
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.2074	0.00379	10928
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.07552	0.00138	3988
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.07041	0.00129	4706
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.06026	0.0011	3109
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.05819	0.00106	2045
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02894	0.00053	1635
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00944	0.00017	396
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00729	0.00013	430
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.00716	0.00013	277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	48.66787	0.88951	2456830
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	18.03869	0.3297	668643
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.8169	0.14287	310515
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	7.42017	0.13562	688436
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	5.76488	0.10537	212667
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.00142	0.07313	155458
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.28649	0.04179	90673
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.27005	0.02321	54566
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	1.17664	0.02151	42554
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.67942	0.01242	28671
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.49224	0.009	23281
