#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan LCM-15171981Week-24_S146_L002_R1_001.fastq.gz,LCM-15171981Week-24_S146_L002_R2_001.fastq.gz --bowtie2out LCM-15171981Week-24_S146_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LCM-15171981Week-24_S146_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	85.13635	
k__Bacteria|p__Actinobacteria	2|201174	14.68132	
k__Bacteria|p__Proteobacteria	2|1224	0.15513	
k__Bacteria|p__Bacteroidetes	2|976	0.0272	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	77.44223	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	11.193	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.09063	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.48832	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3567	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.14976	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.13869	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.05567	
k__Bacteria|p__Firmicutes|c__CFGB25373	2|1239|	0.02909	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.0272	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.01991	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00537	
k__Bacteria|p__Firmicutes|c__CFGB9736	2|1239|	0.00343	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	74.87776	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	11.15444	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.09063	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.72346	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	2.56447	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.76486	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3567	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.14976	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.13869	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.05567	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.03856	
k__Bacteria|p__Firmicutes|c__CFGB25373|o__OFGB25373	2|1239||	0.02909	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.0272	
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691	2|1239||	0.01991	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00537	
k__Bacteria|p__Firmicutes|c__CFGB9736|o__OFGB9736	2|1239||	0.00343	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	61.02942	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	11.15444	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	9.04919	
