#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan RIR-15250180Week-0_S86_L002_R1_001.fastq.gz,RIR-15250180Week-0_S86_L002_R2_001.fastq.gz --bowtie2out RIR-15250180Week-0_S86_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o RIR-15250180Week-0_S86_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	79.13072	
k__Bacteria|p__Bacteroidetes	2|976	11.48484	
k__Bacteria|p__Actinobacteria	2|201174	8.51939	
k__Bacteria|p__Proteobacteria	2|1224	0.70756	
k__Bacteria|p__Verrucomicrobia	2|74201	0.15749	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	70.43878	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.48484	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	8.03382	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.91479	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.73145	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.52506	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.52064	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.48557	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.38087	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.32669	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.15749	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	68.61181	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	11.48484	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	8.01843	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.91479	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.82697	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.73145	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.52506	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.48557	
