#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	50.34134	26.84771	60.90791	38.42262	90.79278	37.46587	33.80093	33.35685	49.3533	63.27089	38.56555	81.31268	82.40852	45.85921	43.76796	39.4678	16.64031	34.13586	30.01179	57.90734	37.62015	13.26602
k__Bacteria|p__Bacteroidetes	33.6034	67.23877	33.79937	55.45075	4.09995	57.38883	55.84872	58.7484	41.41846	25.65151	56.8139	15.50178	9.12888	29.75666	49.34858	55.86873	78.65939	56.56028	61.05436	37.66896	52.21174	80.8859
k__Bacteria|p__Deferribacteres	5.83779	0.11422	0.25901	0.61155	0.00806	0.03996	1.35008	0.59974	0.23708	0.03101	0.05447	0.00175	0.18972	5.36632	1.60222	0.0616	0.00213	0.37349	1.87337	0.16119	1.68193	0.83085
k__Bacteria|p__Bacteria_unclassified	5.3964	2.84117	2.4699	2.29107	0.85995	1.36432	4.75729	3.31602	4.5178	1.24691	1.50274	1.04243	3.2176	1.56657	3.79578	1.89823	2.08951	4.15031	2.00386	0.34799	4.4457	1.63428
k__Bacteria|p__Actinobacteria	2.84167	1.19082	1.14716	1.94275	4.05465	2.4473	1.69646	2.00434	1.82807	8.62257	1.38244	1.61596	3.8404	15.37276	0.50288	1.3623	1.1905	0.96098	1.2242	3.17375	2.24837	2.0044
k__Bacteria|p__Proteobacteria	1.75454	1.15659	0.86318	1.25514	0.17916	0.73513	1.86272	0.93746	1.78694	1.11749	0.68749	0.46728	1.06046	2.01775	0.91846	0.80266	0.92912	3.52334	3.28427	0.45579	1.10831	0.85179
k__Bacteria|p__Candidatus_Saccharibacteria	0.16571	0.40167	0.55347	0.02483	0.00165	0.48996	0.48976	0.08515	0.10182	0.01306	0.80484	0.05812	0.01309	0.01224	0.03174	0.18299	0.47157	0.12677	0.267	0.2272	0.04223	0.14674
k__Bacteria|p__Verrucomicrobia	0.05212	0.0	0.0	0.0	0.0	0.0	0.09974	0.04595	0.02529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01134	0.05755	0.26533
k__Bacteria|p__Tenericutes	0.00703	0.19388	0.0	0.0	0.00381	0.03119	0.08322	0.90301	0.73123	0.04556	0.18835	0.0	0.14135	0.04848	0.02492	0.30626	0.01462	0.15716	0.25376	0.04646	0.56464	0.04374
