#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan R5_S204_L002_R1_001.fastq.gz,R5_S204_L002_R2_001.fastq.gz --bowtie2out R5_S204_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o R5_S204_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	56.56028	
k__Bacteria|p__Firmicutes	2|1239	34.13586	
k__Bacteria|p__Bacteria_unclassified	2|35929085	4.15031	
k__Bacteria|p__Proteobacteria	2|1224	3.52334	
k__Bacteria|p__Actinobacteria	2|201174	0.96098	
k__Bacteria|p__Deferribacteres	2|200930	0.37349	
k__Bacteria|p__Tenericutes	2|544448	0.15716	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.12677	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.0118	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	46.61702	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	15.82937	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.56024	
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	7.59144	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	3.79296	
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	2.62365	
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	1.12085	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.80956	
k__Bacteria|p__Firmicutes|c__CFGB28755	2|1239|	0.75178	
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.60628	
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.45796	
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.44819	
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.42985	
k__Bacteria|p__Bacteroidetes|c__CFGB7480	2|976|	0.40789	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.37349	
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.32773	
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.26551	
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.2528	
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.20139	
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.1971	
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.18592	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.16306	
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.15716	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.15143	
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.12677	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1236	
k__Bacteria|p__Bacteroidetes|c__CFGB9375	2|976|	0.11746	
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.1147	
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.113	
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.0709	
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.0622	
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.05672	
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.05272	
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.04608	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.04252	
