#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan LA125-TD_S94_L002_R1_001.fastq.gz,LA125-TD_S94_L002_R2_001.fastq.gz --bowtie2out LA125-TD_S94_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LA125-TD_S94_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	33.6163	
k__Bacteria|p__Proteobacteria	2|1224	30.47979	
k__Bacteria|p__Firmicutes	2|1239	19.57676	
k__Bacteria|p__Actinobacteria	2|201174	5.23024	
k__Bacteria|p__Fusobacteria	2|32066	4.49856	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	3.69239	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	2.74199	
k__Bacteria|p__Spirochaetes	2|203691	0.13818	
k__Bacteria|p__Candidatus_Gracilibacteria	2|363464	0.02234	
k__Bacteria|p__Tenericutes	2|544448	0.00345	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	32.41898	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	24.93288	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.35016	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.63462	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	4.62001	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.33314	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	3.92661	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	3.62868	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.59553	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	2|221235|	2.74199	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.08953	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	0.89915	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.61023	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.57704	
k__Bacteria|p__Fusobacteria|c__CFGB1781	2|32066|	0.57195	
k__Bacteria|p__Bacteroidetes|c__CFGB570	2|976|	0.43204	
k__Bacteria|p__Firmicutes|c__CFGB1534	2|1239|	0.42663	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.31862	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.23897	
k__Bacteria|p__Bacteroidetes|c__CFGB497	2|976|	0.18208	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.13818	
k__Bacteria|p__Proteobacteria|c__CFGB4196	2|1224|	0.12424	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	0.11308	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.06372	
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified	2|363464|	0.02234	
k__Bacteria|p__Bacteroidetes|c__CFGB524	2|976|	0.00616	
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00345	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	32.41898	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	24.91308	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	5.98726	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.41538	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	4.19525	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	3.92661	
