#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan LA187-ASD_S139_L002_R1_001.fastq.gz,LA187-ASD_S139_L002_R2_001.fastq.gz --bowtie2out LA187-ASD_S139_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LA187-ASD_S139_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	44.54394	
k__Bacteria|p__Proteobacteria	2|1224	23.20548	
k__Bacteria|p__Bacteroidetes	2|976	18.80218	
k__Bacteria|p__Actinobacteria	2|201174	8.64904	
k__Bacteria|p__Fusobacteria	2|32066	4.34315	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.45622	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	22.9925	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	20.04594	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.51742	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	18.3969	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	8.48937	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	4.18399	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.71461	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.2809	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.09397	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.45622	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.28476	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.2246	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.15967	
k__Bacteria|p__Fusobacteria|c__CFGB1781	2|32066|	0.15915	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	22.9925	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.51742	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	18.3969	
