#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan LA043-TD_S53_L002_R1_001.fastq.gz,LA043-TD_S53_L002_R2_001.fastq.gz --bowtie2out LA043-TD_S53_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LA043-TD_S53_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	25.07129	
k__Bacteria|p__Firmicutes	2|1239	24.74398	
k__Bacteria|p__Proteobacteria	2|1224	23.97861	
k__Bacteria|p__Actinobacteria	2|201174	18.77929	
k__Bacteria|p__Fusobacteria	2|32066	3.6059	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	3.4797	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	0.33638	
k__Bacteria|p__Spirochaetes	2|203691	0.00486	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.28377	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	18.19687	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	15.75557	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	13.27267	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	7.92287	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	7.20847	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	3.6059	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.20569	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	2.22996	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	1.56929	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	1.19983	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	0.70928	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.58242	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	2|221235|	0.33638	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.30016	
k__Bacteria|p__Bacteroidetes|c__CFGB524	2|976|	0.14395	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.14236	
k__Bacteria|p__Firmicutes|c__CFGB1534	2|1239|	0.11359	
k__Bacteria|p__Bacteroidetes|c__CFGB570	2|976|	0.07427	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	0.0525	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.04812	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.02874	
k__Bacteria|p__Firmicutes|c__CFGB1394	2|1239|	0.00671	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.00486	
k__Bacteria|p__Firmicutes|c__CFGB1395	2|1239|	0.00398	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355	2|95818|	0.0018	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.28377	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	15.34596	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	15.06179	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	11.7828	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	7.10066	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	5.98022	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	3.6059	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.20569	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	2.58201	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	2.22996	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	1.94265	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.56929	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.48987	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	1.19983	
k__Bacteria|p__Firmicutes|c__CFGB1764|o__OFGB1764	2|1239||	0.70928	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.58242	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.55306	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.40961	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified	2|221235||	0.33638	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.30016	
k__Bacteria|p__Bacteroidetes|c__CFGB524|o__OFGB524	2|976||	0.14395	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.14236	
k__Bacteria|p__Firmicutes|c__CFGB1534|o__OFGB1534	2|1239||	0.11359	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.10781	
k__Bacteria|p__Bacteroidetes|c__CFGB570|o__OFGB570	2|976||	0.07427	
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762	2|1239||	0.0525	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.02874	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.02416	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2|95818|2093818|2093819	0.02396	
k__Bacteria|p__Firmicutes|c__CFGB1394|o__OFGB1394	2|1239||	0.00671	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.00486	
k__Bacteria|p__Firmicutes|c__CFGB1395|o__OFGB1395	2|1239||	0.00398	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355	2|95818||	0.0018	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	15.34596	
