#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan ADK-10008292Week-4_S22_L001_R1_001.fastq.gz,ADK-10008292Week-4_S22_L001_R2_001.fastq.gz --bowtie2out ADK-10008292Week-4_S22_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ADK-10008292Week-4_S22_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.997	
k__Archaea	2157	0.003	
k__Bacteria|p__Firmicutes	2|1239	83.776	
k__Bacteria|p__Actinobacteria	2|201174	10.79931	
k__Bacteria|p__Bacteroidetes	2|976	4.80652	
k__Bacteria|p__Proteobacteria	2|1224	0.46512	
k__Bacteria|p__Verrucomicrobia	2|74201	0.10697	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04175	
k__Archaea|p__Euryarchaeota	2157|28890	0.003	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00134	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	75.12057	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	7.3009	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.89498	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.80652	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.4984	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.25292	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.38973	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.18447	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.10697	
k__Bacteria|p__Firmicutes|c__CFGB3053	2|1239|	0.07915	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05087	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.0469	
k__Bacteria|p__Firmicutes|c__CFGB1434	2|1239|	0.04559	
