#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan SVP-15113868Week-0_S143_L001_R1_001.fastq.gz,SVP-15113868Week-0_S143_L001_R2_001.fastq.gz --bowtie2out SVP-15113868Week-0_S143_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SVP-15113868Week-0_S143_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	68.29845	
k__Bacteria|p__Bacteroidetes	2|976	10.29887	
k__Bacteria|p__Actinobacteria	2|201174	9.68239	
k__Bacteria|p__Verrucomicrobia	2|74201	7.15052	
k__Bacteria|p__Proteobacteria	2|1224	3.80426	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.76551	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.74882	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.29887	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	8.6069	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	7.15052	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.45343	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.14407	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.99409	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.80722	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.0755	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.76551	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.34071	
k__Bacteria|p__Firmicutes|c__CFGB9736	2|1239|	0.14879	
k__Bacteria|p__Firmicutes|c__CFGB8129	2|1239|	0.08256	
k__Bacteria|p__Firmicutes|c__CFGB3053	2|1239|	0.06191	
k__Bacteria|p__Firmicutes|c__CFGB3608	2|1239|	0.00162	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	52.00503	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.29887	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	8.58222	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	7.15052	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	5.74379	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.07116	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.99409	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.80722	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.751	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.38227	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.0755	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.76551	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.39307	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.34071	
k__Bacteria|p__Firmicutes|c__CFGB9736|o__OFGB9736	2|1239||	0.14879	
k__Bacteria|p__Firmicutes|c__CFGB8129|o__OFGB8129	2|1239||	0.08256	
