#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan WCK-15164268Week-4_S117_L001_R1_001.fastq.gz,WCK-15164268Week-4_S117_L001_R2_001.fastq.gz --bowtie2out WCK-15164268Week-4_S117_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o WCK-15164268Week-4_S117_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	90.70412	
k__Bacteria|p__Actinobacteria	2|201174	6.24419	
k__Bacteria|p__Bacteroidetes	2|976	2.39843	
k__Bacteria|p__Proteobacteria	2|1224	0.65051	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00275	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.1297	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	29.21482	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.20775	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.03644	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.45348	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.39843	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	1.03996	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.78234	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.38158	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.26894	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.04824	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.03557	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00275	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	56.80939	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	29.20712	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.67602	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.45348	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.39843	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.34957	
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340	2|1239||	1.03996	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.78234	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.71028	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.38158	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.36043	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.32031	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.17239	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.1479	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.09655	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.04824	
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691	2|1239||	0.03557	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.0077	
