# Pathway	merged_AL-15034488Week-24_S177_L002__kneaddata_paired_Abundance
UNMAPPED	730419.5942028813
UNINTEGRATED	2879264.3688520398
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	570140.6638739550
UNINTEGRATED|unclassified	404462.6425058757
UNINTEGRATED|g__Blautia.s__Blautia_obeum	337554.7703519442
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	307553.2222508164
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	295360.5409107764
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	156394.3002516794
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	129781.6630539769
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	111443.4460731876
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	64626.7504522431
UNINTEGRATED|g__Tyzzerella.s__Tyzzerella_nexilis	60568.4904576142
UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_MJR8396C	46554.3968363089
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	43148.2265821283
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	40317.9396001161
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	26612.9361120944
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	25803.1063797172
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	25223.4369235691
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	18449.8173219373
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	14735.3338751509
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	14253.2221769990
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	11233.9548630810
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	10270.5110600483
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	9479.1588063296
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	9085.8097704007
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	8608.2841055283
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	7776.8418022203
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_spiroforme	7510.6112008243
UNINTEGRATED|g__Blautia.s__Blautia_producta	7341.4052270192
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	6220.5762606834
UNINTEGRATED|g__Senegalimassilia.s__Senegalimassilia_anaerobia	5665.0626521603
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	5070.5949252777
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	4628.2659445045
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2992.5512652654
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	2904.5136061039
UNINTEGRATED|g__Blautia.s__Blautia_coccoides	2717.3359937952
UNINTEGRATED|g__Streptococcus.s__Streptococcus_equinus	2472.3013895611
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	494.6299604790
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	279.2865852293
PWY-7238: sucrose biosynthesis II	3955.7143864743
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	847.5626837651
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	580.7962478591
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	503.0783952775
PWY-7238: sucrose biosynthesis II|unclassified	456.5757336177
PWY-7238: sucrose biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_adolescentis	429.3159541515
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_faecis	267.5417051831
PWY-7238: sucrose biosynthesis II|g__Collinsella.s__Collinsella_aerofaciens	250.3004771350
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris	58.0402030786
PWY-7238: sucrose biosynthesis II|g__Tyzzerella.s__Tyzzerella_nexilis	40.2061789233
PWY-7238: sucrose biosynthesis II|g__Megasphaera.s__Megasphaera_sp_MJR8396C	38.5424748076
PWY-7238: sucrose biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	24.0287464473
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	19.2013586720
PWY-7238: sucrose biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	16.4015212452
PWY-7238: sucrose biosynthesis II|g__Escherichia.s__Escherichia_coli	12.9500469646
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_faecis	8.8044227859
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_producta	2.3570937361
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1.5413983208
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_coccoides	1.3819981272
PWY-1042: glycolysis IV	3609.4273520068
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	1166.1295160197
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	504.3751970714
PWY-1042: glycolysis IV|unclassified	273.2023985794
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_faecis	168.8903467575
PWY-1042: glycolysis IV|g__Collinsella.s__Collinsella_aerofaciens	153.8266794251
